"DBCODE","Grade","Public","DistrictCode","DistrictName","SchoolCode","SchoolName","TotalCollegeReportable","EnglishCnt","EnglishPct","ReadingCnt","ReadingPct","MathCnt","MathPct","ScienceCnt","SciencePct","AllCnt","AllPct"
"00000-00000","11","P","00000","STATEWIDE","00000"," ","110635","57848","52.3","42482","38.4","33282","30.1","23709","21.4","17695","16.0"
"56903-00000","11","P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","14","3","21.4","2","14.3","0","0.0","0","0.0","0","0.0"
"56903-09696","11","P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","09696","ACADEMIC AND CAREER EDUCATION ACADEMY","14","3","21.4","2","14.3","0","0.0","0","0.0","0","0.0"
"82921-00000","11","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","39","10","25.6","2","5.1","0","0.0","0","0.0","0","0.0"
"82921-08435","11","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","08435","ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL","39","10","25.6","2","5.1","0","0.0","0","0.0","0","0.0"
"82961-00000","11","P","82961","ACADEMY OF INKSTER","00000"," ","27","5","18.5","3","11.1","1","3.7","0","0.0","0","0.0"
"82961-08729","11","P","82961","ACADEMY OF INKSTER","08729","ACADEMY OF INKSTER","27","5","18.5","3","11.1","1","3.7","0","0.0","0","0.0"
"63902-00000","11","P","63902","ACADEMY OF OAK PARK","00000"," ","115","6","5.2","2","1.7","0","0.0","0","0.0","0","0.0"
"63902-08291","11","P","63902","ACADEMY OF OAK PARK","08291","ACADEMY OF OAK PARK - HIGH SCHOOL","115","6","5.2","2","1.7","0","0.0","0","0.0","0","0.0"
"82998-00000","11","P","82998","ACE ACADEMY (SDA)","00000"," ","7","*","*","*","*","*","*","*","*","*","*"
"82998-09823","11","P","82998","ACE ACADEMY (SDA)","09823","ACE ACADEMY (SDA) - CALUMET CENTER","2","*","*","*","*","*","*","*","*","*","*"
"82998-09850","11","P","82998","ACE ACADEMY (SDA)","09850","ACE ACADEMY (SDA) - LINCOLN CENTER","5","*","*","*","*","*","*","*","*","*","*"
"31020-00000","11","P","31020","ADAMS TOWNSHIP SCHOOL DISTRICT","00000"," ","32","20","62.5","12","37.5","18","56.3","10","31.3","8","25.0"
"31020-01893","11","P","31020","ADAMS TOWNSHIP SCHOOL DISTRICT","01893","JEFFERS HIGH SCHOOL","32","20","62.5","12","37.5","18","56.3","10","31.3","8","25.0"
"46020-00000","11","P","46020","ADDISON COMMUNITY SCHOOLS","00000"," ","75","36","48.0","26","34.7","8","10.7","10","13.3","4","5.3"
"46020-00023","11","P","46020","ADDISON COMMUNITY SCHOOLS","00023","ADDISON JR/SR HIGH SCHOOL","75","36","48.0","26","34.7","8","10.7","10","13.3","4","5.3"
"46010-00000","11","P","46010","ADRIAN CITY SCHOOL DISTRICT","00000"," ","238","93","39.1","72","30.3","31","13.0","28","11.8","15","6.3"
"46010-07431","11","P","46010","ADRIAN CITY SCHOOL DISTRICT","07431","ADRIAN ADULT AND ALTERNATIVE EDUCATION","17","2","11.8","3","17.6","0","0.0","0","0.0","0","0.0"
"46010-00027","11","P","46010","ADRIAN CITY SCHOOL DISTRICT","00027","ADRIAN HIGH SCHOOL","221","91","41.2","69","31.2","31","14.0","28","12.7","15","6.8"
"63914-00000","11","P","63914","ADVANCED TECHNOLOGY ACADEMY","00000"," ","93","26","28.0","11","11.8","5","5.4","1","1.1","1","1.1"
"63914-09910","11","P","63914","ADVANCED TECHNOLOGY ACADEMY","09910","ADVANCED TECHNOLOGY ACADEMY","93","26","28.0","11","11.8","5","5.4","1","1.1","1","1.1"
"63901-00000","11","P","63901","AGBU ALEX-MARIE MANOOGIAN SCHOOL","00000"," ","33","20","60.6","10","30.3","7","21.2","2","6.1","2","6.1"
"63901-08265","11","P","63901","AGBU ALEX-MARIE MANOOGIAN SCHOOL","08265","AGBU ALEX-MARIE MANOOGIAN SCHOOL","33","20","60.6","10","30.3","7","21.2","2","6.1","2","6.1"
"58020-00000","11","P","58020","AIRPORT COMMUNITY SCHOOL DISTRICT","00000"," ","225","85","37.8","62","27.6","50","22.2","32","14.2","22","9.8"
"58020-00209","11","P","58020","AIRPORT COMMUNITY SCHOOL DISTRICT","00209","AIRPORT ALTERNATIVE HIGH SCHOOL","10","1","10.0","2","20.0","0","0.0","0","0.0","0","0.0"
"58020-01086","11","P","58020","AIRPORT COMMUNITY SCHOOL DISTRICT","01086","AIRPORT SENIOR HIGH SCHOOL","215","84","39.1","60","27.9","50","23.3","32","14.9","22","10.2"
"82903-00000","11","P","82903","AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOOL","00000"," ","16","8","50.0","2","12.5","0","0.0","1","6.3","0","0.0"
"82903-08047","11","P","82903","AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOOL","08047","AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOOL","16","8","50.0","2","12.5","0","0.0","1","6.3","0","0.0"
"79010-00000","11","P","79010","AKRON-FAIRGROVE SCHOOLS","00000"," ","31","9","29.0","6","19.4","2","6.5","3","9.7","2","6.5"
"79010-00034","11","P","79010","AKRON-FAIRGROVE SCHOOLS","00034","AKRON-FAIRGROVE JR/SR HIGH SCHOOL","31","9","29.0","6","19.4","2","6.5","3","9.7","2","6.5"
"24030-00000","11","P","24030","ALANSON PUBLIC SCHOOLS","00000"," ","25","4","16.0","3","12.0","5","20.0","1","4.0","0","0.0"
"24030-02241","11","P","24030","ALANSON PUBLIC SCHOOLS","02241","ALANSON PUBLIC SCHOOL","25","4","16.0","3","12.0","5","20.0","1","4.0","0","0.0"
"05010-00000","11","P","05010","ALBA PUBLIC SCHOOLS","00000"," ","11","2","18.2","0","0.0","0","0.0","0","0.0","0","0.0"
"05010-06938","11","P","05010","ALBA PUBLIC SCHOOLS","06938","ALBA SCHOOL","11","2","18.2","0","0.0","0","0.0","0","0.0","0","0.0"
"13010-00000","11","P","13010","ALBION PUBLIC SCHOOLS","00000"," ","61","20","32.8","13","21.3","5","8.2","7","11.5","3","4.9"
"13010-04936","11","P","13010","ALBION PUBLIC SCHOOLS","04936","ALBION HIGH SCHOOL","61","20","32.8","13","21.3","5","8.2","7","11.5","3","4.9"
"01010-00000","11","P","01010","ALCONA COMMUNITY SCHOOLS","00000"," ","63","36","57.1","33","52.4","23","36.5","10","15.9","8","12.7"
"01010-00044","11","P","01010","ALCONA COMMUNITY SCHOOLS","00044","ALCONA COMMUNITY HIGH SCHOOL","63","36","57.1","33","52.4","23","36.5","10","15.9","8","12.7"
"74030-00000","11","P","74030","ALGONAC COMMUNITY SCHOOL DISTRICT","00000"," ","136","82","60.3","56","41.2","44","32.4","28","20.6","18","13.2"
"74030-00054","11","P","74030","ALGONAC COMMUNITY SCHOOL DISTRICT","00054","ALGONAC HIGH SCHOOL","136","82","60.3","56","41.2","44","32.4","28","20.6","18","13.2"
"03030-00000","11","P","03030","ALLEGAN PUBLIC SCHOOLS","00000"," ","199","95","47.7","67","33.7","48","24.1","28","14.1","20","10.1"
"03030-03535","11","P","03030","ALLEGAN PUBLIC SCHOOLS","03535","ALLEGAN ALTERNATIVE HIGH SCHOOL","17","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0"
"03030-00062","11","P","03030","ALLEGAN PUBLIC SCHOOLS","00062","ALLEGAN HIGH SCHOOL","182","95","52.2","67","36.8","48","26.4","28","15.4","20","11.0"
"82955-00000","11","P","82955","ALLEN ACADEMY","00000"," ","56","6","10.7","2","3.6","1","1.8","0","0.0","0","0.0"
"82955-09319","11","P","82955","ALLEN ACADEMY","09319","ALLEN ACADEMY","56","6","10.7","2","3.6","1","1.8","0","0.0","0","0.0"
"82020-00000","11","P","82020","ALLEN PARK PUBLIC SCHOOLS","00000"," ","342","176","51.5","114","33.3","88","25.7","61","17.8","44","12.9"
"82020-08422","11","P","82020","ALLEN PARK PUBLIC SCHOOLS","08422","ALLEN PARK COMMUNITY SCHOOL","46","7","15.2","4","8.7","1","2.2","0","0.0","0","0.0"
"82020-00065","11","P","82020","ALLEN PARK PUBLIC SCHOOLS","00065","ALLEN PARK HIGH SCHOOL","296","169","57.1","110","37.2","87","29.4","61","20.6","44","14.9"
"70040-00000","11","P","70040","ALLENDALE PUBLIC SCHOOL DISTRICT","00000"," ","146","81","55.5","74","50.7","51","34.9","39","26.7","31","21.2"
"70040-05889","11","P","70040","ALLENDALE PUBLIC SCHOOL DISTRICT","05889","ALLENDALE HIGH SCHOOL","140","80","57.1","73","52.1","51","36.4","39","27.9","31","22.1"
"70040-07293","11","P","70040","ALLENDALE PUBLIC SCHOOL DISTRICT","07293","NEW OPTIONS ALTERNATIVE HIGH SCHOOL","6","*","*","*","*","*","*","*","*","*","*"
"29010-00000","11","P","29010","ALMA PUBLIC SCHOOLS","00000"," ","168","81","48.2","57","33.9","34","20.2","31","18.5","20","11.9"
"29010-07242","11","P","29010","ALMA PUBLIC SCHOOLS","07242","ALMA ADULT/ALTERNATIVE EDUCATION","13","3","23.1","2","15.4","0","0.0","0","0.0","0","0.0"
"29010-05774","11","P","29010","ALMA PUBLIC SCHOOLS","05774","ALMA SENIOR HIGH SCHOOL","155","78","50.3","55","35.5","34","21.9","31","20.0","20","12.9"
"44020-00000","11","P","44020","ALMONT COMMUNITY SCHOOLS","00000"," ","157","102","65.0","67","42.7","64","40.8","33","21.0","25","15.9"
"44020-00073","11","P","44020","ALMONT COMMUNITY SCHOOLS","00073","ALMONT HIGH SCHOOL","157","102","65.0","67","42.7","64","40.8","33","21.0","25","15.9"
"04010-00000","11","P","04010","ALPENA PUBLIC SCHOOLS","00000"," ","359","175","48.7","132","36.8","73","20.3","71","19.8","44","12.3"
"04010-00075","11","P","04010","ALPENA PUBLIC SCHOOLS","00075","ALPENA HIGH SCHOOL","326","173","53.1","129","39.6","71","21.8","70","21.5","43","13.2"
"04010-07361","11","P","04010","ALPENA PUBLIC SCHOOLS","07361","OXBOW ACES ACADEMY/ALTERNATIVE AND ADULT ED","33","2","6.1","3","9.1","2","6.1","1","3.0","1","3.0"
"50040-00000","11","P","50040","ANCHOR BAY SCHOOL DISTRICT","00000"," ","432","252","58.3","176","40.7","131","30.3","101","23.4","75","17.4"
