"Grade","School Type","District Code","District Name","Building Code","School Name","Subject","Number Tested","Mean","Stdev"
11,"P","00000","STATEWIDE","00000"," ","Composite",110252,19.3,5
11,"P","00000","STATEWIDE","00000"," ","English",110300,18.3,6.1
11,"P","00000","STATEWIDE","00000"," ","English+Writing",109906,17.9,5.5
11,"P","00000","STATEWIDE","00000"," ","Mathematics",110296,19.3,4.9
11,"P","00000","STATEWIDE","00000"," ","Reading",110273,19.4,5.8
11,"P","00000","STATEWIDE","00000"," ","Science",110257,19.7,5.1
11,"P","00000","STATEWIDE","00000"," ","Writing",109906,6.5,1.8
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","Composite",14,15.2,3.6
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","English",14,13,4.9
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","English+Writing",14,11.9,4.5
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","Mathematics",14,15,2.5
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","Reading",14,15.4,4.5
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","Science",14,16.4,4
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","Writing",14,4.4,1.4
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","09696","ACADEMIC AND CAREER EDUCATION ACADEMY","Composite",14,15.2,3.6
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","09696","ACADEMIC AND CAREER EDUCATION ACADEMY","English",14,13,4.9
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","09696","ACADEMIC AND CAREER EDUCATION ACADEMY","English+Writing",14,11.9,4.5
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","09696","ACADEMIC AND CAREER EDUCATION ACADEMY","Mathematics",14,15,2.5
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","09696","ACADEMIC AND CAREER EDUCATION ACADEMY","Reading",14,15.4,4.5
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","09696","ACADEMIC AND CAREER EDUCATION ACADEMY","Science",14,16.4,4
11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","09696","ACADEMIC AND CAREER EDUCATION ACADEMY","Writing",14,4.4,1.4
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","Composite",39,15.2,2.7
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","English",39,13.9,4.3
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","English+Writing",39,14.1,4.4
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","Mathematics",39,15,1.8
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","Reading",39,15,3.5
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","Science",39,16.4,3.5
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","Writing",39,5.8,1.9
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","08435","ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL","Composite",39,15.2,2.7
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","08435","ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL","English",39,13.9,4.3
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","08435","ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL","English+Writing",39,14.1,4.4
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","08435","ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL","Mathematics",39,15,1.8
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","08435","ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL","Reading",39,15,3.5
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","08435","ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL","Science",39,16.4,3.5
11,"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","08435","ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL","Writing",39,5.8,1.9
11,"P","82961","ACADEMY OF INKSTER","00000"," ","Composite",27,15.3,2.8
11,"P","82961","ACADEMY OF INKSTER","00000"," ","English",27,13.9,4.5
11,"P","82961","ACADEMY OF INKSTER","00000"," ","English+Writing",27,14.9,4.2
11,"P","82961","ACADEMY OF INKSTER","00000"," ","Mathematics",27,15,2.6
11,"P","82961","ACADEMY OF INKSTER","00000"," ","Reading",27,15.2,3.6
11,"P","82961","ACADEMY OF INKSTER","00000"," ","Science",27,16.6,3
11,"P","82961","ACADEMY OF INKSTER","00000"," ","Writing",27,6.7,1.5
11,"P","82961","ACADEMY OF INKSTER","08729","ACADEMY OF INKSTER","Composite",27,15.3,2.8
11,"P","82961","ACADEMY OF INKSTER","08729","ACADEMY OF INKSTER","English",27,13.9,4.5
11,"P","82961","ACADEMY OF INKSTER","08729","ACADEMY OF INKSTER","English+Writing",27,14.9,4.2
11,"P","82961","ACADEMY OF INKSTER","08729","ACADEMY OF INKSTER","Mathematics",27,15,2.6
11,"P","82961","ACADEMY OF INKSTER","08729","ACADEMY OF INKSTER","Reading",27,15.2,3.6
11,"P","82961","ACADEMY OF INKSTER","08729","ACADEMY OF INKSTER","Science",27,16.6,3
11,"P","82961","ACADEMY OF INKSTER","08729","ACADEMY OF INKSTER","Writing",27,6.7,1.5
11,"P","63902","ACADEMY OF OAK PARK","00000"," ","Composite",115,13.7,1.9
11,"P","63902","ACADEMY OF OAK PARK","00000"," ","English",115,12.2,3
11,"P","63902","ACADEMY OF OAK PARK","00000"," ","English+Writing",115,12.9,3
11,"P","63902","ACADEMY OF OAK PARK","00000"," ","Mathematics",115,14.4,1.3
11,"P","63902","ACADEMY OF OAK PARK","00000"," ","Reading",115,13.5,2.7
11,"P","63902","ACADEMY OF OAK PARK","00000"," ","Science",115,14.2,2.8
11,"P","63902","ACADEMY OF OAK PARK","00000"," ","Writing",115,6,1.5
11,"P","63902","ACADEMY OF OAK PARK","08291","ACADEMY OF OAK PARK - HIGH SCHOOL","Composite",115,13.7,1.9
11,"P","63902","ACADEMY OF OAK PARK","08291","ACADEMY OF OAK PARK - HIGH SCHOOL","English",115,12.2,3
11,"P","63902","ACADEMY OF OAK PARK","08291","ACADEMY OF OAK PARK - HIGH SCHOOL","English+Writing",115,12.9,3
11,"P","63902","ACADEMY OF OAK PARK","08291","ACADEMY OF OAK PARK - HIGH SCHOOL","Mathematics",115,14.4,1.3
11,"P","63902","ACADEMY OF OAK PARK","08291","ACADEMY OF OAK PARK - HIGH SCHOOL","Reading",115,13.5,2.7
11,"P","63902","ACADEMY OF OAK PARK","08291","ACADEMY OF OAK PARK - HIGH SCHOOL","Science",115,14.2,2.8
11,"P","63902","ACADEMY OF OAK PARK","08291","ACADEMY OF OAK PARK - HIGH SCHOOL","Writing",115,6,1.5
11,"P","82998","ACE ACADEMY (SDA)","00000"," ","Composite",7,"*","*"
11,"P","82998","ACE ACADEMY (SDA)","00000"," ","English",7,"*","*"
11,"P","82998","ACE ACADEMY (SDA)","00000"," ","English+Writing",7,"*","*"
11,"P","82998","ACE ACADEMY (SDA)","00000"," ","Mathematics",7,"*","*"
11,"P","82998","ACE ACADEMY (SDA)","00000"," ","Reading",7,"*","*"
