"DBCODE","Grade","School Type","District Number","District Name","School Number","School Name","Subject","AvgSS","StdDev","Level 1","Percent Level 1","Level 2","Percent Level 2","Level 3","Percent Level 3","Level 4","Percent Level 4","Met/Exceeded Standards","Percent Met/Exceeded Standards","Did Not Meet Standards","Percent Did Not Meet Standards","Number Tested"
"00000-00000-M",11,"P","00000","STATEWIDE","00000"," ","M",1094,37,12440,11.4,42449,39,17557,16.1,36486,33.5,54889,50.4,54043,49.6,108932
"00000-00000-R",11,"P","00000","STATEWIDE","00000"," ","R",1108,32,3326,3,68112,62.1,23307,21.3,14872,13.6,71438,65.2,38179,34.8,109617
"00000-00000-S",11,"P","00000","STATEWIDE","00000"," ","S",1101,39,9713,8.9,53504,49,16248,14.9,29803,27.3,63217,57.9,46051,42.1,109268
"00000-00000-W",11,"P","00000","STATEWIDE","00000"," ","W",1092,36,4072,3.7,44091,40,53129,48.2,8859,8,48163,43.7,61988,56.3,110151
"00000-00000-X",11,"P","00000","STATEWIDE","00000"," ","X",1123,26,41019,37.5,45816,41.9,15327,14,7246,6.6,86835,79.4,22573,20.6,109408
"56903-00000-M",11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","M",1069,26,0,0,2,15.4,2,15.4,9,69.2,2,15.4,11,84.6,13
"56903-00000-R",11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","R",1082,32,0,0,3,21.4,6,42.9,5,35.7,3,21.4,11,78.6,14
"56903-00000-S",11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","S",1075,48,0,0,4,30.8,2,15.4,7,53.8,4,30.8,9,69.2,13
"56903-00000-W",11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","W",1054,49,0,0,2,14.3,7,50,5,35.7,2,14.3,12,85.7,14
"56903-00000-X",11,"P","56903","ACADEMIC AND CAREER EDUCATION ACADEMY","00000"," ","X",1107,21,3,23.1,4,30.8,5,38.5,1,7.7,7,53.8,6,46.2,13
