District Code,District Name,Elementary,Middle School,High School
82921,Academy for Business and Technology,Yes,Yes,Yes
63902,Academy of Oak Park,Yes,No,No
31020,Adams Township School District,Yes,Yes,Yes
46020,Addison Community Schools,Yes,Yes,Yes
46010,Adrian City School District,Yes,Yes,No
63914,Advanced Technology Academy,Yes,Yes,Yes
58020,Airport Community School District,Yes,Yes,Yes
79010,Akron-Fairgrove Schools,Yes,Yes,Yes
13010,Albion Public Schools,No,Yes,No
01010,Alcona Community Schools,Yes,Yes,Yes
74030,Algonac Community School District,Yes,Yes,Yes
03030,Allegan Public Schools,Yes,Yes,No
82955,Allen Academy,Yes,Yes,Yes
82020,Allen Park Public Schools,Yes,Yes,No
70040,Allendale Public School District,Yes,Yes,Yes
29010,Alma Public Schools,Yes,Yes,Yes
44020,Almont Community Schools,Yes,Yes,Yes
04010,Alpena Public Schools,Yes,Yes,No
50040,Anchor Bay School District,Yes,Yes,Yes
81010,Ann Arbor Public Schools,Yes,Yes,Yes
06010,Arenac Eastern School District,Yes,Yes,Yes
50050,Armada Area Schools,Yes,Yes,Yes
29020,Ashley Community Schools,Yes,Yes,Yes
13050,Athens Area Schools,Yes,Yes,Yes
25130,Atherton Community Schools,Yes,Yes,Yes
06020,Au Gres-Sims School District,Yes,Yes,Yes
63070,Avondale School District,Yes,Yes,No
32010,Bad Axe Public Schools,Yes,Yes,Yes
43040,Baldwin Community Schools,Yes,Yes,No
80020,Bangor Public Schools,Yes,Yes,No
09030,Bangor Township Schools,Yes,No,Yes
07020,Baraga Area Schools,Yes,Yes,Yes
21090,Bark River-Harris School District,Yes,Yes,Yes
19100,Bath Community Schools,Yes,Yes,Yes
09010,Bay City School District,Yes,Yes,No
37040,Beal City Public Schools,Yes,Yes,Yes
51020,Bear Lake School District,Yes,Yes,Yes
26010,Beaverton Rural Schools,Yes,Yes,Yes
58030,Bedford Public Schools,Yes,Yes,Yes
34080,Belding Area School District,Yes,Yes,No
05040,Bellaire Public Schools,Yes,Yes,Yes
23010,Bellevue Community Schools,Yes,Yes,Yes
25060,Bendle Public Schools,Yes,Yes,No
25230,Bentley Community Schools,Yes,Yes,Yes
10015,Benzie County Central Schools,Yes,Yes,Yes
63050,Berkley School District,Yes,Yes,No
11000,Berrien RESA,Yes,No,No
11240,Berrien Springs Public Schools,Yes,Yes,No
27010,Bessemer Area School District,Yes,Yes,Yes
54010,Big Rapids Public Schools,Yes,Yes,Yes
73170,Birch Run Area School District,Yes,Yes,Yes
63010,Birmingham City School District,Yes,Yes,Yes
46040,Blissfield Community Schools,Yes,Yes,Yes
63080,Bloomfield Hills School District,Yes,Yes,Yes
80090,Bloomingdale Public School District,Yes,Yes,Yes
15020,Boyne City Public Schools,Yes,Yes,No
12000,Branch ISD,No,Yes,Yes
63180,Brandon School District,Yes,Yes,Yes
11210,Brandywine Community Schools,Yes,Yes,Yes
29040,Breckenridge Community Schools,Yes,Yes,Yes
22030,Breitung Township Schools,Yes,Yes,Yes
73180,Bridgeport-Spaulding Community School District,Yes,Yes,No
11340,Bridgman Public Schools,Yes,Yes,Yes
47010,Brighton Area Schools,Yes,Yes,Yes
17140,Brimley Area Schools,Yes,Yes,Yes
12020,Bronson Community School District,Yes,Yes,Yes
76060,Brown City Community Schools,Yes,Yes,Yes
11310,Buchanan Community Schools,Yes,Yes,Yes
73080,Buena Vista School District,Yes,Yes,No
56020,Bullock Creek School District,Yes,No,Yes
75020,Burr Oak Community School District,Yes,Yes,Yes
78020,Byron Area Schools,Yes,Yes,Yes
41040,Byron Center Public Schools,Yes,Yes,Yes
83010,Cadillac Area Public Schools,Yes,Yes,Yes
41050,Caledonia Community Schools,Yes,Yes,Yes
30010,Camden-Frontier Schools,Yes,Yes,Yes
74040,Capac Community School District,Yes,Yes,Yes
25080,Carman-Ainsworth Community Schools,Yes,Yes,No
79020,Caro Community Schools,Yes,Yes,Yes
73030,Carrollton School District,Yes,Yes,No
59020,Carson City-Crystal Area Schools,Yes,No,Yes
76070,Carsonville-Port Sanilac School District,Yes,Yes,Yes
32030,Caseville Public Schools,Yes,Yes,Yes
79030,Cass City Public Schools,Yes,Yes,Yes
14010,Cassopolis Public Schools,Yes,Yes,No
41070,Cedar Springs Public Schools,Yes,Yes,No
50010,Center Line Public Schools,Yes,No,Yes
59125,Central Montcalm Public Schools,Yes,Yes,Yes
75030,Centreville Public Schools,Yes,Yes,Yes
82918,Cesar Chavez Academy,Yes,Yes,No
82923,Chandler Park Academy,Yes,Yes,No
15050,Charlevoix Public Schools,Yes,Yes,Yes
23030,Charlotte Public Schools,Yes,Yes,No
16000,Cheb-Otsego-Presque Isle ESD,No,No,Yes
16015,Cheboygan Area Schools,No,No,Yes
81040,Chelsea School District,Yes,Yes,Yes
73110,Chesaning Union Schools,Yes,Yes,Yes
54025,Chippewa Hills School District,Yes,Yes,No
50080,Chippewa Valley Schools,Yes,Yes,Yes
82320,City of Harper Woods Schools,Yes,Yes,Yes
18010,Clare Public Schools,Yes,Yes,No
63090,Clarenceville School District,Yes,Yes,Yes
63190,Clarkston Community School District,Yes,Yes,No
63270,Clawson Public Schools,Yes,Yes,Yes
39020,Climax-Scotts Community Schools,Yes,Yes,No
46060,Clinton Community Schools,No,Yes,Yes
19000,Clinton County RESA,No,No,Yes
50070,Clintondale Community Schools,Yes,Yes,No
25150,Clio Area School District,Yes,Yes,Yes
12010,Coldwater Community Schools,Yes,Yes,Yes
56030,Coleman Community School District,Yes,Yes,Yes
82914,Colin Powell Academy,Yes,Yes,-
11330,Coloma Community Schools,Yes,Yes,Yes
75040,Colon Community School District,Yes,Yes,Yes
38040,Columbia School District,Yes,Yes,No
41080,Comstock Park Public Schools,Yes,Yes,Yes
39030,Comstock Public Schools,Yes,Yes,No
38080,Concord Community Schools,Yes,Yes,Yes
50904,Conner Creek Academy,Yes,Yes,Yes
50902,Conner Creek Academy East,Yes,Yes,Yes
75050,Constantine Public School District,Yes,Yes,Yes
70120,Coopersville Area Public School District,Yes,Yes,Yes
78100,Corunna Public School District,Yes,Yes,Yes
11901,Countryside Academy,Yes,Yes,No
80040,Covert Public Schools,Yes,Yes,No
20015,Crawford AuSable Schools,Yes,Yes,Yes
82230,Crestwood School District,Yes,Yes,Yes
54901,Crossroads Charter Academy,Yes,Yes,Yes
76080,Croswell-Lexington Community Schools,Yes,Yes,Yes
38901,Da Vinci Institute,Yes,NULL,-
33040,Dansville Schools,Yes,Yes,Yes
25140,Davison Community Schools,Yes,Yes,Yes
82030,Dearborn City School District,Yes,Yes,Yes
82040,Dearborn Heights School District #7,Yes,Yes,Yes
80050,Decatur Public Schools,Yes,Yes,Yes
76090,Deckerville Community School District,Yes,Yes,Yes
08010,Delton-Kellogg School District,Yes,Yes,No
17050,DeTour Area Schools,Yes,Yes,Yes
82929,Detroit Academy of Arts and Sciences,No,Yes,No
82010,Detroit City School District,Yes,Yes,No
82925,Detroit Community Schools,Yes,Yes,Yes
19010,DeWitt Public Schools,Yes,Yes,Yes
81050,Dexter Community School District,Yes,Yes,Yes
31100,Dollar Bay-Tamarack City Area Schools,Yes,Yes,No
14020,Dowagiac Union School District,Yes,No,Yes
44050,Dryden Community Schools,Yes,Yes,Yes
58050,Dundee Community Schools,Yes,Yes,Yes
78030,Durand Area Schools,Yes,Yes,Yes
74050,East China School District,Yes,Yes,Yes
