District Code,District Name,Elementary,Middle School,High School
82998,ACE Academy (SDA),-,No,No
03000,Allegan Area Educational Service Agency,No,No,No
13020,Battle Creek Public Schools,No,No,No
09000,Bay-Arenac ISD,No,No,No
25240,Beecher Community School District,No,No,No
11010,Benton Harbor Area Schools,No,No,No
82971,Blanche Kelso Bruce Academy,-,No,-
13000,Calhoun ISD,No,No,No
21000,Delta-Schoolcraft ISD,No,No,-
67020,Evart Public Schools,No,No,No
29000,Gratiot-Isabella RESD,No,No,No
63130,Hazel Park City School District,No,No,No
30000,Hillsdale ISD,No,No,No
72020,Houghton Lake Community Schools,No,No,No
38000,Jackson ISD,No,No,No
39000,Kalamazoo RESA,No,No,No
46000,Lenawee ISD,No,No,No
14000,Lewis Cass ISD,No,No,-
50000,Macomb ISD,No,No,No
63140,Madison Public Schools (Oakland),No,No,No
54000,Mecosta-Osceola ISD,No,No,No
58000,Monroe ISD,No,No,No
61020,Muskegon Heights School District,No,No,No
82120,River Rouge School District,No,No,No
73000,Saginaw ISD,No,No,No
28000,Traverse Bay Area ISD,No,No,No
79000,Tuscola ISD,No,No,No
80000,Van Buren ISD,No,No,No
