dcode,District,bcode,School,
63902,Academy of Oak Park,09818,Academy of Oak Park - Middle School,Schools that didn't make AYP for 1 year
50911,Academy of Warren,09602,Academy of Warren,
82998,ACE Academy (SDA),09823,ACE Academy (SDA) - Calumet Center,
46010,Adrian City School District,07431,Adrian Adult and Alternative Education,
13010,Albion Public Schools,01581,Harrington Elementary School,
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,
82955,Allen Academy,09319,Allen Academy,
04010,Alpena Public Schools,00075,Alpena High School,
04000,Alpena-Montmorency-Alcona ESD,00808,Pied Piper Opportunity Center,
63915,Arts and Technology Academy of Pontiac,08855,Arts and Technology Academy of Pontiac,
09030,Bangor Township Schools,00190,Christa McAuliffe Middle School,
08000,Barry ISD,08881,Barry ISD Special Education,
13020,Battle Creek Public Schools,04320,W.K. Kellogg Middle School,
09010,Bay City School District,04123,Handy Middle School,
09010,Bay City School District,02235,Linsday Elementary School,
09901,Bay-Arenac Community High School,05453,Bay-Arenac Community High School,
09000,Bay-Arenac ISD,08912,LLC---Bay Campus,
09000,Bay-Arenac ISD,08913,LLC--Arenac Campus,
25240,Beecher Community School District,05687,Beecher Middle School Academy,
25240,Beecher Community School District,00439,Tucker Elementary School,
50910,Ben Ross Public School Academy,09443,Ben Ross Public School Academy,
11010,Benton Harbor Area Schools,06197,McCord Elementary School,
15020,Boyne City Public Schools,08257,Great Lakes Academic Center,
12000,Branch ISD,04792,Waldron Learning Center,
47010,Brighton Area Schools,09920,Bridge Alternative High School,
72000,C.O.O.R. ISD,07995,C.O.O.R. Special Educational Center,
83010,Cadillac Area Public Schools,08628,Mackinaw Trail Middle School,
13000,Calhoun ISD,05491,Starr Commonwealth for Boys,
82923,Chandler Park Academy,09825,Chandler Park Academy - High School,
16000,Cheb-Otsego-Presque Isle ESD,09024,COP ESD Programs,
54025,Chippewa Hills School District,07764,Mosaic School,
54025,Chippewa Hills School District,04424,Weidman Elementary School,
18010,Clare Public Schools,07754,Clare Pioneer High School,
18000,Clare-Gladwin Regional Education Service District,00777,Clare-Gladwin Area School,
63190,Clarkston Community School District,00706,Clarkston High School,
39020,Climax-Scotts Community Schools,09930,Climax-Scotts Adult/Alternative Ed,
50070,Clintondale Community Schools,05031,Clintondale Middle School,
12010,Coldwater Community Schools,01897,Jefferson Elementary School,
12010,Coldwater Community Schools,02192,Lincoln Elementary School,
82914,Colin Powell Academy,09934,Colin Powell Academy - Middle School,
11330,Coloma Community Schools,00754,Coloma Junior High School,
39030,Comstock Public Schools,01042,East Elementary School,
70120,Coopersville Area Public School District,04802,Coopersville Middle School,
31000,Copper Country ISD,03822,Copper Country Learning Center,
82994,David Ellis Academy West,09710,David Ellis Academy West,
82030,Dearborn City School District,09408,Unis Middle School,
82030,Dearborn City School District,05847,Woodworth Middle School,
08010,Delton-Kellogg School District,07761,Delton-Kellogg Alternative H.S.,
82010,Detroit City School District,00168,Bagley Elementary School,
82010,Detroit City School District,00213,Barton Elementary School,
82010,Detroit City School District,00812,Courtis Elementary School,
82010,Detroit City School District,00038,Detroit City High School,
82010,Detroit City School District,08951,"Field, Moses",
82010,Detroit City School District,07326,Foreign Language Immersion,
82010,Detroit City School District,07581,Garvey Academy,
82010,Detroit City School District,01802,Hutchins Elementary School,
82010,Detroit City School District,09592,Jerry L White Center High School,
82010,Detroit City School District,02301,MacDowell Elementary School,
82010,Detroit City School District,09661,Riverside Preparatory Middle College Academy,
22000,Dickinson-Iron ISD,08877,Dickinson-Iron Special Education,
11905,Dream Academy,09912,Dream Academy,
50020,East Detroit Public Schools,02820,Oakwood Middle School,
50020,East Detroit Public Schools,03074,Pleasantview  Elementary School,
17000,Eastern Upper Peninsula ISD,09022,Rudyard Area Service Center,
67020,Evart Public Schools,01164,Evart Elementary School,
67020,Evart Public Schools,08496,Evart Middle School,
03050,Fennville Public Schools,05790,Pearl Alternative/Adult Education School,
25010,Flint City School District,04387,Washington School,
47030,Fowlerville Community Schools,07712,Choices Alternative Ed,
47030,Fowlerville Community Schools,01286,Fowlerville High School,
82987,Frontier International Academy,09609,Frontier International Academy,
29050,Fulton Schools,09005,Fulton Alternative Education,
82050,Garden City School District,04674,Burger Development Center,
26040,Gladwin Community Schools,01411,Gladwin Junior High School,
41120,Godfrey-Lee Public Schools,00493,Lee Middle School,
27000,Gogebic-Ontonagon ISD,08902,Gogebic-Ontonagon ISD Special Education,
25903,Grand Blanc Academy,08705,Grand Blanc Academy,
41010,Grand Rapids Public Schools,09280,Aberdeen Elementary,
62050,Grant Public School District,08544,Grant Learning Center,
29000,Gratiot-Isabella RESD,06883,GIRESD Center Programs,
35020,Hale Area Schools,01535,Hale High School,
18060,Harrison Community Schools,09412,Hillside Elementary School,
63130,Hazel Park City School District,09372,Hazel Park Junior High School,
63130,Hazel Park City School District,01753,Hoover Elementary School,
63130,Hazel Park City School District,04422,Webster Elementary School,
73210,Hemlock Public School District,05152,Hemlock Middle School,
82703,Henry Ford Academy: School for Creative Studies (P,00101,Henry Ford Academy: School for Creative Studies (P,
82070,Highland Park City Schools,08376,Career Academy/Adult Education,
30020,Hillsdale Community Schools,01399,Gier Elementary School,
72020,Houghton Lake Community Schools,06930,Houghton Lake Middle School,
32000,Huron ISD,07287,Huron Learning Center,
34010,Ionia Public Schools,01848,Ionia High School,
35000,Iosco RESA,08870,Iosco RESA Special Education,
27020,Ironwood Area Schools,02711,Norrie Elementary School,
52180,Ishpeming Public School District,00329,Birchview School,
38170,Jackson Public Schools,01334,Frost Elementary School,
38170,Jackson Public Schools,02957,Middle School at Parkside,
38170,Jackson Public Schools,05802,Northeast Elementary School,
30030,Jonesville Community Schools,04542,Williams Elementary School,
39010,Kalamazoo Public School District,02819,Woods Lake Elementary:A Magnet Center For The Arts,
39000,Kalamazoo RESA,01448,Croyden Avenue School,
39000,Kalamazoo RESA,07290,Youth Center School,
51045,Kaleva Norman Dickson School District,08746,Brethren Middle School,
41140,Kelloggsville Public Schools,02005,Kelloggsville High School,
50140,L'Anse Creuse Public Schools,05970,Macomb County Juvenile Justice Center School,
13090,Lakeview Sch. District (Calhoun),02106,Lakeview High School,
33020,Lansing Public School District,05261,Beekman Center,
33020,Lansing Public School District,05696,Gardner Middle School,
41922,Lighthouse Academy,09924,Lighthouse Academy,
82090,Lincoln Park Public Schools,08692,Lincoln Park Middle School,
82720,Lincoln-King Academy,00133,Lincoln-King Academy,
41170,Lowell Area Schools,02272,Lowell Senior High School,
50000,Macomb ISD,01344,Maple Lane School,
23065,Maple Valley Schools,02359,Maplewood School,
54000,Mecosta-Osceola ISD,06159,Mecosta-Osceola Education Center,
63924,Michigan Mathematics and Science Academy,00129,Michigan Mathematics and Science Academy,
56000,Midland County Educational Service Agency,08857,MCESA and Sugnet School Classroom Programs,
79100,Millington Community Schools,09628,Glaza Building,
58000,Monroe ISD,01274,Monroe County Education Center,
58000,Monroe ISD,09253,Monroe County Transition Center,
58010,Monroe Public Schools,02189,Lincoln Elementary School,
61180,Montague Area Public Schools,02673,Nellie B. Chisholm Middle School,
59000,Montcalm Area ISD,09238,ISD/Local Center Programs,
59000,Montcalm Area ISD,06333,Seiter Education Service Center,
54040,Morley Stanwood Community Schools,09562,Morley Stanwood Alternative School,
50160,Mt. Clemens Community School District,09336,George Washington Academy,
37010,Mt. Pleasant City School District,07801,Mission Creek Community Education,
37010,Mt. Pleasant City School District,03131,Pullen Elementary School,
61000,Muskegon Area ISD,07068,Wesley School,
61010,Muskegon City School District,02675,Nelson Elementary School,
11200,New Buffalo Area Schools,08503,New Buffalo Middle School,
11300,Niles Community School District,03546,Southside Special Educ School,
30050,North Adams-Jerome Schools,02714,North Adams High School,
30050,North Adams-Jerome Schools,02715,North Adams-Jerome Elem. School,
44090,North Branch Area Schools,09430,Quest High School,
52901,North Star Academy,08476,North Star Academy,
82922,Nsoroma Institute,07606,Nsoroma Institute,
63250,Oak Park City School District,01333,Oak Park Preparatory Academy,
64000,Oceana Intermediate School District,07574,OISD Developmental Center,
66050,Ontonagon Area Schools,02835,Ontonagon Area Elementary School,
63030,Pontiac City School District,01139,Emerson School,
63030,Pontiac City School District,02144,Le Baron School,
63030,Pontiac City School District,02260,Longfellow School,
63030,Pontiac City School District,06213,Whitmer Resource Center,
23090,Potterville Public Schools,02170,Potterville Elementary School,
23090,Potterville Public Schools,09073,Potterville Middle School,
30070,Reading Community Schools,03159,Reading High School,
82110,Redford Union School District,02296,MacGowan School,
82120,River Rouge School District,02765,Clarence B. Sabbath School,
72010,Roscommon Area Public Schools,06369,Roscommon Middle School,
50030,Roseville Community Schools,01987,Kaiser Elementary School,
73010,Saginaw City School District,01930,Jessie Rouse School,
73000,Saginaw ISD,07038,M.G. Millet Learning Center,
73040,Saginaw Township Community Schools,05158,Heritage High School,
76210,Sandusky Community School District,09929,Sandusky Alternative School,
82080,School District of the City of Inkster,01216,Blanchette Middle School,
78000,Shiawassee Regional ESD,01035,Shiawassee RESD - Student Learning Center - West,
63060,Southfield Public School District,00024,Adlai Stevenson Elementary School,
63060,Southfield Public School District,06032,Eisenhower Elementary School,
82405,Southgate Community School District,07777,Beacon Day Treatment Center,
75000,St. Joseph County ISD,01037,Pathfinder Center,
48040,Tahquamenon Area Schools,02692,Newberry High School,
61904,Three Oaks Public School Academy,09304,Three Oaks Public School Academy,
75080,Three Rivers Community Schools,05336,Park Elementary School,
28000,Traverse Bay Area ISD,07492,Adult Work Center,
28000,Traverse Bay Area ISD,09748,TBA ISD Oak Park Special Education,
28000,Traverse Bay Area ISD,09783,TBA ISD Traverse Heights,
59080,Tri County Area Schools,03440,Tri County Senior High School,
79000,Tuscola ISD,01997,Highland Pines School,
80000,Van Buren ISD,09764,Behavioral Education Center,
80000,Van Buren ISD,06908,Bert Goens Learning Center,
80000,Van Buren ISD,09768,Community-based Transition Center,
82430,Van Buren Public Schools,00264,Belleville High School,
50220,Van Dyke Public Schools,04368,Washington  Elementary School,
79150,Vassar Public Schools,07857,Pioneer Work and Learn Center,
82160,Wayne-Westland Community School District,02029,Kettering Elementary School,
82160,Wayne-Westland Community School District,02181,Lincoln Elementary School,
61903,WayPoint Academy,08800,WayPoint Academy,
63160,West Bloomfield School District,01401,Ealy Elementary School,
63160,West Bloomfield School District,03271,Roosevelt Elementary School,
63160,West Bloomfield School District,07372,Scotch Elementary School,
70902,West MI Academy of Arts and Academics,08332,West MI Academy of Arts and Academics,
38010,Western School District,00236,Bean Elementary School,
38010,Western School District,04598,Western Middle School,
82240,Westwood Community Schools,09935,Westwood Cyber High School,
83000,Wexford-Missaukee ISD,08873,Wexford-Missaukee ISD Special Education,
62090,White Cloud Public Schools,07756,White Cloud Junior High School,
62090,White Cloud Public Schools,09161,White Cloud Upper Elementary School,
35040,Whittemore-Prescott Area Schools,05551,Whittemore-Prescott Elementary School,
41917,William C. Abney Academy,08600,William C. Abney Academy,
81150,Willow Run Community Schools,09404,Willow Run Middle School,
82170,Wyandotte City School District,00008,Jo Brighton Skills Center,
82170,Wyandotte City School District,08828,The Lincoln Center,
41026,Wyoming Public Schools,09885,Innovations Academy,
