ISDcode,ISD,dcode,District,bcode,School ,AYP,AYP Phase,Building Type
52,Marquette-Alger RESA,02020,Burt Township School District,04999,Burt Township School,Yes,Identified for Improvement - Year One,K-12 School
03,Allegan Area Educational Service Agency,03010,Plainwell Community Schools,08016,Renaissance High School,No,Identified for Improvement - Year Two,Alternative School
03,Allegan Area Educational Service Agency,03030,Allegan Public Schools,03535,Allegan Alternative High School,No,Identified for Restructuring - Implementation,Alternative School
03,Allegan Area Educational Service Agency,03040,Wayland Union Schools,04404,Wayland High School,Yes,Identified for Improvement - Year One,High School
04,Alpena-Montmorency-Alcona ESD,04010,Alpena Public Schools,07361,OxBow ACES Academy/Alternative and Adult Ed,No,Identified for Restructuring - Planning,Alternative School
09,Bay-Arenac ISD,09000,Bay-Arenac ISD,09735,ISD-Local Programs,No,Identified for Improvement - Year Two,Spec Ed Center
09,Bay-Arenac ISD,09010,Bay City School District,00227,Bay City Central High School,No,Identified for Restructuring - Implementation,High School
09,Bay-Arenac ISD,09010,Bay City School District,08573,Wenona Center Home of Wenona High/Middle School,No,Identified for Restructuring - Implementation,Alternative School
11,Berrien RESA,11010,Benton Harbor Area Schools,00286,Benton Harbor High School,Yes,Identified for Restructuring - Planning,Middle/High School
11,Berrien RESA,11160,Galien Township School District,09535,Galien Alternative Education School,No,Identified for Restructuring - Planning,Alternative School
11,Berrien RESA,11210,Brandywine Community Schools,08161,Bell Education Center,No,Corrective Action,Alternative School
11,Berrien RESA,11240,Berrien Springs Public Schools,09086,Berrien Springs Alternative Education Center,No,Corrective Action,Alternative School
11,Berrien RESA,11310,Buchanan Community Schools,00435,Buchanan High School,Yes,Identified for Improvement - Year One,High School
11,Berrien RESA,11330,Coloma Community Schools,00753,Coloma High School,Yes,Identified for Improvement - Year Two,High School
12,Branch ISD,12010,Coldwater Community Schools,01305,Franklin High School,No,Identified for Restructuring - Implementation,Alternative School
13,Calhoun ISD,13000,Calhoun ISD,00426,Doris Klaussen Dev. Center,No,Identified for Improvement - Year One,Spec Ed Center
13,Calhoun ISD,13010,Albion Public Schools,04936,Albion High School,No,Identified for Restructuring - Planning,High School
13,Calhoun ISD,13020,Battle Creek Public Schools,00223,Battle Creek Central High School,No,Identified for Restructuring - Implementation,High School
13,Calhoun ISD,13020,Battle Creek Public Schools,08574,South Hill Academy,No,Identified for Restructuring - Implementation,Alternative School
13,Calhoun ISD,13070,Harper Creek Community Schools,01576,Harper Creek High School,Yes,Identified for Improvement - Year One,High School
13,Calhoun ISD,13080,Homer Community Schools,07765,Homer Comm. Alt. Education,Yes,Identified for Improvement - Year One,Alternative School
13,Calhoun ISD,13110,Marshall Public Schools,09244,Shearman School EC Programs and Marshall AHS,No,Identified for Restructuring - Planning,Alternative School
13,Calhoun ISD,13904,Battle Creek Area Learning Center,08854,Battle Creek Area Learning Center,No,Corrective Action,Alternative School
14,Lewis Cass ISD,14000,Lewis Cass ISD,06215,Brookside Learning Center,No,Identified for Improvement - Year Two,Spec Ed Center
15,Charlevoix-Emmet ISD,15000,Charlevoix-Emmet ISD,07052,Char-Em Programs,No,Identified for Improvement - Year One,Spec Ed Center
15,Charlevoix-Emmet ISD,15020,Boyne City Public Schools,08545,Boyne City Alt. Ed. Boyne Valley Campus,No,Identified for Improvement - Year Two,Alternative School
15,Charlevoix-Emmet ISD,15060,East Jordan Public Schools,01015,East Jordan Elementary School,No,Identified for Improvement - Year One,Elementary
15,Charlevoix-Emmet ISD,15902,Northwest Academy,08340,Northwest Academy,Yes,Identified for Improvement - Year Two,K-12 School
16,Cheb-Otsego-Presque Isle ESD,16015,Cheboygan Area Schools,07932,Cheboygan Alternative High School,No,Identified for Improvement - Year Two,Alternative School
17,Eastern Upper Peninsula ISD,17010,Sault Ste. Marie Area Schools,06812,Malcolm High School,No,Identified for Restructuring - Planning,Alternative School
17,Eastern Upper Peninsula ISD,17090,Pickford Public Schools,09417,Consolidated Community School Services,No,Corrective Action,Alternative School
18,Clare-Gladwin Regional Education Service District,18060,Harrison Community Schools,07812,Harrison Alternative Education,No,Identified for Improvement - Year Two,High School
19,Clinton County RESA,19140,St. Johns Public Schools,01039,Wilson Center,No,Identified for Restructuring - Planning,Middle/High School
21,Delta-Schoolcraft ISD,21000,Delta-Schoolcraft ISD,03370,Learning Center,No,Identified for Improvement - Year One,Spec Ed Center
22,Dickinson-Iron ISD,22010,Iron Mountain Public Schools,08831,IM-K Community Education,No,Identified for Improvement - Year Two,Alternative School
23,Eaton ISD,23030,Charlotte Public Schools,07757,Charlotte Alternative Education,No,Corrective Action,Alternative School
23,Eaton ISD,23050,Eaton Rapids Public Schools,01060,Eaton Rapids Senior High School,Yes,Corrective Action,High School
23,Eaton ISD,23050,Eaton Rapids Public Schools,07672,Greyhound Central,No,Corrective Action,Alternative School
23,Eaton ISD,23060,Grand Ledge Public Schools,01457,Grand Ledge High School,No,Identified for Improvement - Year Two,High School
23,Eaton ISD,23060,Grand Ledge Public Schools,08979,Sawdon High School,No,Identified for Restructuring - Implementation,Alternative School
23,Eaton ISD,23065,Maple Valley Schools,07776,Kellogg Education Center,No,Identified for Restructuring - Planning,Alternative School
25,Genesee ISD,25010,Flint City School District,00094,Anderson School,No,Identified for Improvement - Year One,Elementary
25,Genesee ISD,25010,Flint City School District,02777,Northwestern High School,No,Identified for Restructuring - Implementation,High School
25,Genesee ISD,25010,Flint City School District,05950,Zimmerman Center,No,Corrective Action,Alternative School
25,Genesee ISD,25010,Flint City School District,06015,Schools of Choice,No,Identified for Restructuring - Implementation,Middle/High School
25,Genesee ISD,25010,Flint City School District,06199,Northern High School,No,Identified for Restructuring - Implementation,High School
25,Genesee ISD,25010,Flint City School District,07576,Mott Middle College High School,No,Corrective Action,High School
25,Genesee ISD,25010,Flint City School District,09891,Holmes Foundation,Yes,Identified for Restructuring - Planning,Middle School
25,Genesee ISD,25010,Flint City School District,09892,McKinley Foundation ,Yes,Identified for Restructuring - Planning,Middle School
25,Genesee ISD,25040,Mt. Morris Consolidated Schools,05763,E.A. Johnson Memorial H.S.,Yes,Identified for Improvement - Year One,High School
25,Genesee ISD,25040,Mt. Morris Consolidated Schools,07691,Mt. Morris Alternative Ed.,No,Identified for Restructuring - Implementation,Alternative School
25,Genesee ISD,25060,Bendle Public Schools,00270,Bendle High School,Yes,Identified for Improvement - Year One,High School
25,Genesee ISD,25060,Bendle Public Schools,07710,Bendle/Carman-Ainsworth Alternative Education,No,Identified for Restructuring - Implementation,Alternative School
