District Code,District,Building Code,School,AYP Phase,Grade,Title 1,Subgroup,"Participation ELA","Achievement ELA","Participation Math","Achievement Math","Attendance/Graduation"
56903,Academic and Career Education Academy,09696,Academic and Career Education Academy,Identified for Improvement - Year Two,No Grade,Yes,All Students,-,Yes,-,Yes,No
63902,Academy of Oak Park,08291,Academy of Oak Park - High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,No,Yes,Yes,Yes
63902,Academy of Oak Park,08291,Academy of Oak Park - High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,No,Yes,Yes,Yes
63902,Academy of Oak Park,09818,Academy of Oak Park - Middle School,,C,Yes,All Students,Yes,Yes,Yes,Yes,No
63902,Academy of Oak Park,09818,Academy of Oak Park - Middle School,,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
63902,Academy of Oak Park,09818,Academy of Oak Park - Middle School,,C,Yes,Economically Disadvantaged,No,Yes,No,Yes,No
50911,Academy of Warren,09602,Academy of Warren,,C,Yes,Economically Disadvantaged,No,Yes,No,Yes,Yes
50911,Academy of Warren,09602,Academy of Warren,,C,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
82998,ACE Academy (SDA),09823,ACE Academy (SDA) - Calumet Center,,No Grade,No,All Students,-,No,-,Yes,-
46010,Adrian City School District,07431,Adrian Adult and Alternative Education,,No Grade,No,All Students,-,No,-,Yes,No
46010,Adrian City School District,00027,Adrian High School,Identified for Restructuring - Planning,C,No,Students with Disabilities,Yes,No,Yes,No,Yes
13010,Albion Public Schools,04936,Albion High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,Yes
13010,Albion Public Schools,04936,Albion High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,Yes
13010,Albion Public Schools,04936,Albion High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,Yes
13010,Albion Public Schools,01581,Harrington Elementary School,,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,,No Grade,No,All Students,Yes,No,Yes,No,-
