Downloadable Data File Layout: Building Level Ð Pupil Headcount,,,,
K-12 Total Enrollments,,,,
2009-2010 School Year ,,,,
,,,,
Please use the following file layout to read the downloadable data file:,,,,
,,,,
Column Name,Description,,,
bcode,BUILDING CODE,,,
bname,BUILDING NAME,,,
dcode,DISTRICT CODE,,,
dname,DISTRICT NAME,,,
tot_m_ai,*K-12 AMERICAN INDIAN MALE,,,
tot_m_as,*K-12 ASIAN MALE,,,
tot_m_aa,*K-12 AFRICAN-AMERICAN MALE,,,
tot_m_hw,*K-12 NATIVE HAWAIIAN MALE,,,
tot_m_wh,*K-12 WHITE MALE,,,
tot_m_hs,*K-12 HISPANIC MALE,,,
tot_m_mr,*K-12 MULTIRACIAL MALE,,,
tot_f_ai,*K-12 AMERICAN INDIAN FEMALE,,,
tot_f_as,*K-12 ASIAN FEMALE,,,
tot_f_aa,*K-12 AFRICAN-AMERICAN FEMALE,,,
tot_f_hw,*K-12 NATIVE HAWAIIAN FEMALE,,,
tot_f_wh,*K-12 WHITE FEMALE,,,
tot_f_hs,*K-12 HISPANIC FEMALE,,,
tot_f_mr,*K-12 MULTIRACIAL FEMALE,,,
tot_ai,*K-12 TOTAL AMERICAN INDIAN,,,
tot_as,*K-12 TOTAL ASIAN,,,
tot_aa,*K-12 TOTAL AFRICAN-AMERICAN,,,
tot_hw,*K-12 TOTAL NATIVE HAWAIIAN,,,
tot_wh,*K-12 TOTAL WHITE,,,
tot_hs,*K-12 TOTAL HISPANIC,,,
tot_mr,*K-12 TOTAL MULTIRACIAL,,,
k_totl,* KINDERGARTEN TOTAL ENROLLMENT ,,,
g1_totl,* G1 TOTAL ENROLLMENT ,,,
g2_totl,* G2 TOTAL ENROLLMENT ,,,
g3_totl,* G3 TOTAL ENROLLMENT ,,,
g4_totl,* G4 TOTAL ENROLLMENT ,,,
g5_totl,* G5 TOTAL ENROLLMENT ,,,
g6_totl,* G6 TOTAL ENROLLMENT ,,,
g7_totl,* G7 TOTAL ENROLLMENT ,,,
g8_totl,* G8 TOTAL ENROLLMENT ,,,
g9_totl,* G9 TOTAL ENROLLMENT ,,,
g10_totl,* G10 TOTAL ENROLLMENT ,,,
g11_totl,* G11 TOTAL ENROLLMENT ,,,
g12_totl,* G12 TOTAL ENROLLMENT ,,,
tot_male,*K-12 GRAND TOTAL MALE,,,
tot_fem,*K-12 GRAND TOTAL FEMALE,,,
tot_all,*K-12 GRAND TOTAL ENROLLMENT,,,
,,,,
,,,,
