Downloadable Data File Layout: Building Level Ð Pupil Headcount,,,,
Ungraded* Enrollment ,,,,
2009-2010 School Year ,,,,
,,,,
Please use the following file layout to read the downloadable data file:,,,,
,,,,
Column Name,Description,,,
bcode,BUILDING CODE,,,
bname,BUILDING NAME,,,
dcode,DISTRICT CODE,,,
dname,DISTRICT NAME,,,
ug_m_ai,UNGRADED AMERICAN INDIAN MALE,,,
ug_m_as,UNGRADED ASIAN MALE,,,
ug_m_aa,UNGRADED AFRICAN-AMERICAN MALE,,,
ug_m_hw,UNGRADED NATIVE HAWAIIAN MALE,,,
ug_m_wh,UNGRADED WHITE MALE,,,
ug_m_hs,UNGRADED HISPANIC MALE,,,
ug_m_mr,UNGRADED MULTIRACIAL MALE,,,
ug_f_ai,UNGRADED AMERICAN INDIAN FEMALE,,,
ug_f_as,UNGRADED ASIAN FEMALE,,,
ug_f_aa,UNGRADED AFRICAN-AMERICAN FEMALE,,,
ug_f_hw,UNGRADED NATIVE HAWAIIAN FEMALE,,,
ug_f_wh,UNGRADED WHITE FEMALE,,,
ug_f_hs,UNGRADED HISPANIC FEMALE,,,
ug_f_mr,UNGRADED MULTIRACIAL FEMALE,,,
ug_ai_tot,*UNGRADED TOTAL AMERICAN INDIAN,,,
ug_as_tot,*UNGRADED TOTAL ASIAN,,,
ug_aa_tot,*UNGRADED TOTAL AFRICAN-AMERICAN,,,
ug_hw_tot,*UNGRADED TOTAL NATIVE HAWAIIAN,,,
ug_wh_tot,*UNGRADED TOTAL WHITE,,,
ug_hs_tot,*UNGRADED TOTAL HISPANIC,,,
ug_mr_tot,*UNGRADED TOTAL MULTIRACIAL,,,
ug_m_tot,*UNGRADED TOTAL MALE,,,
ug_f_tot,*UNGRADED TOTAL FEMALE,,,
ug_totl,*UNGRADED TOTAL ENROLLMENT,,,
