"DCODE","DISTNAME","DISTCOUNTY","CC","AVG_FTE","RNK_FTE","LOCREV","AVG_LOCREV","RNK_LOCREV","STREV","AVG_STREV","RNK_STREV","FEDREV","AVG_FEDREV","RNK_FEDREV","TOTREV","AVG_TOTREV","RNK_TOTREV","BASINS","AVG_BASINS","RNK_BASINS","ADDINS","AVG_ADDINS","RNK_ADDINS","AEINS","AVG_AEINS","RNK_AEINS","ITOT","AVG_ITOT","RNK_ITOT","ISAL","AVG_ISAL","RNK_ISAL","ISSUP","AVG_ISSUP","RNK_ISSUP","ADM","AVG_ADM","RNK_ADM","FACACQ","AVG_FACACQ","RNK_FACACQ","OPNMNT","AVG_OPNMNT","RNK_OPNMNT","TRANS","AVG_TRANS","RNK_TRANS","SSTOT","AVG_SSTOT","RNK_SSTOT","SSSAL","AVG_SSSAL","RNK_SSSAL","COE","AVG_COE","RNK_COE","TOTEXP","AVG_TOTEXP","RNK_TOTEXP","T_SAL","AVG_T_SAL","RNK_T_SAL","HSEV","AVG_HSEV","RNK_HSEV","NHSEV","AVG_NHSEV","RNK_NHSEV","P_TCHR","AVG_P_TCHR","RNK_P_TCH","GROUP","AEPUPILS_A","AEPUPILS_S"
"01010","ALCONA COMMUNITY SCHOOLS","ALCONA","01",985.00,401,5641935.24,5728,55,2161766.48,2195,739,816847.05,829,345,8620548.77,8752,408,4215407.44,4280,324,1485920.57,1509,113,0.00,0,0,5701328.01,5788,180,5506903.40,5591,136,381584.94,387,556,1176803.65,1195,396,0.00,0,0,749590.44,761,623,584902.98,594,79,2892882.01,2937,514,1887743.49,1916,377,8594210.02,8725,292,8838193.81,8973,342,2403152.02,50593,442,215598845,218882,75,280650268,284924,47,47.50,21,327,"M",0.00,0.00
"02010","AUTRAIN-ONOTA PUBLIC SCHOOLS","ALGER COUNTY","02",30.00,759,727992.70,24266,5,40443.62,1348,753,37250.30,1242,150,805686.62,26856,9,288687.98,9623,13,67074.35,2236,23,0.00,0,0,355762.33,11859,10,343401.37,11447,8,22903.34,763,241,143259.02,4775,5,0.00,0,0,75035.67,2501,28,70383.04,2346,5,311581.07,10386,7,188436.33,6281,3,667343.40,22245,7,793932.94,26464,8,162234.35,45191,520,22718510,757284,6,37517373,1250579,7,3.59,8,8,"N",0.00,0.00
"02020","BURT TOWNSHIP SCHOOL DISTRICT","ALGER COUNTY","02",63.00,743,520214.46,8257,31,241281.03,3830,714,58411.70,927,264,890373.50,14133,32,426113.19,6764,24,27175.17,431,712,0.00,0,0,453288.36,7195,46,435508.58,6913,34,17223.20,273,642,166684.52,2646,64,0.00,0,0,141786.18,2251,37,46632.72,740,31,372326.62,5910,39,181838.98,2886,74,825614.98,13105,28,903162.55,14336,28,232570.88,35780,584,10824611,171819,147,26588300,422037,30,6.50,10,17,"N",0.00,0.00
"02070","MUNISING PUBLIC SCHOOLS","ALGER COUNTY","02",705.00,476,1774510.40,2517,160,4339195.30,6155,545,591879.17,840,336,6747882.50,9571,200,3105506.88,4405,247,922803.39,1309,190,0.00,0,0,4028310.27,5714,201,3800557.62,5391,178,313549.14,445,495,1138517.81,1615,229,0.00,0,0,862980.66,1224,197,394820.08,560,101,2709867.69,3844,220,1993584.50,2828,77,6738177.96,9558,152,7147543.12,10138,143,1816838.29,50468,448,71900831,101987,421,72917021,103428,149,36.00,20,227,"M",0.00,0.00
"02080","SUPERIOR CENTRAL SCHOOLS","ALGER COUNTY","02",404.00,578,658122.88,1629,293,2451473.76,6068,574,304086.63,753,419,3470893.27,8591,461,1563887.36,3871,546,522172.36,1293,200,0.00,0,0,2086059.72,5164,419,1932217.67,4783,426,170936.54,423,514,409590.08,1014,571,0.00,0,0,313104.39,775,603,272872.11,675,46,1166503.12,2887,542,684143.96,1693,492,3252562.84,8051,508,3399160.63,8414,542,778965.37,40319,562,36002303,89115,468,24968912,61804,270,19.32,21,327,"N",0.00,0.00
"03010","PLAINWELL COMMUNITY SCHOOLS","ALLEGAN COUNTY","03",2877.38,159,2965210.70,1031,450,18581743.93,6458,444,1486649.11,517,701,23137724.80,8041,695,11800914.92,4140,407,2253427.49,791,564,30732.26,1130,122,14085074.67,4895,517,13258122.52,4608,487,1792792.97,623,332,2495237.69,867,717,0.00,0,0,2478850.13,861,477,661793.23,230,535,7428674.02,2582,680,5308948.42,1845,419,21513748.69,7477,686,22858613.47,7944,701,7200020.32,57971,218,338637594,117690,337,96318870,33475,447,124.20,23,532,"I",11.24,15.96
"03020","OTSEGO PUBLIC SCHOOLS","ALLEGAN COUNTY","03",2255.41,205,3424887.59,1519,316,14479691.62,6420,456,1312461.69,582,639,20663886.90,9162,284,9225773.78,4100,429,1510181.87,671,651,14506.83,2722,68,10750462.48,4767,558,10242747.60,4541,504,1480168.42,656,310,3185660.98,1412,286,0.00,0,0,2220753.89,985,320,1005218.18,446,239,7891801.47,3499,285,5218997.32,2314,177,18642263.95,8266,427,21017991.12,9319,261,5764435.61,54821,320,308123340,136615,251,101715048,45098,362,105.15,21,327,"J",3.25,2.08
"03030","ALLEGAN PUBLIC SCHOOLS","ALLEGAN COUNTY","03",2902.32,157,4127710.36,1422,340,17297403.34,5960,585,1712110.43,590,628,23485601.77,8092,671,11160621.02,3975,490,2469510.92,880,511,73215.52,774,129,13703347.46,4722,573,12678156.40,4368,550,2061622.93,710,280,2491557.84,858,727,0.00,0,0,2545059.04,877,452,1066891.49,368,373,8165131.30,2813,574,5746002.81,1980,340,21868478.76,7535,678,23106362.41,7961,697,6761110.37,55306,303,310694120,107050,398,168453907,58041,291,122.25,23,532,"I",49.31,45.32
"03040","WAYLAND UNION SCHOOLS","ALLEGAN COUNTY","03",2951.08,153,3912055.02,1326,364,18278737.19,6194,536,1507037.64,511,709,23857088.43,8084,677,11622892.88,3939,517,2378172.43,806,554,0.00,0,0,14001065.31,4744,564,13258605.66,4493,513,2327517.96,789,225,2871360.44,973,611,104980.35,36,7,2332011.81,790,583,1050545.08,356,393,8581435.29,2908,529,6196489.85,2100,261,22582500.60,7652,651,24261399.27,8221,611,7027630.91,52145,399,393088437,133202,270,159440637,54028,305,134.77,22,421,"I",0.00,0.00
"03050","FENNVILLE PUBLIC SCHOOLS","ALLEGAN COUNTY","03",1521.08,293,2503334.27,1646,288,8645160.93,5684,623,1343584.68,883,298,12609969.98,8290,584,5004477.19,3405,627,2345784.34,1596,90,57882.92,1129,123,7408144.45,4870,525,6803060.73,4473,521,817456.67,537,404,1560839.14,1026,561,0.00,0,0,1672724.62,1100,249,665943.87,438,255,4716964.30,3101,436,2850175.51,1874,402,12125108.75,7971,548,12697079.99,8347,563,2859792.62,41537,552,206497098,135757,255,113432270,74574,223,68.85,21,327,"K",27.68,23.60
