"School_Type","District_Number","District_Name","Demographic_SubGroup","Grade","Subject","AvgSS","StdDev","Level_1","Level_2","Level_3","Level_4","Met/Exceeded_Standards","Did_Not_Meet_Standards","Number_Tested","Number_Included"
"P","00000","STATEWIDE","All Students","08","Math",818.2,27.7,44.6,25.7,21.5,8.2,70.3,29.7,116030,116008
"P","00000","STATEWIDE","Male","08","Math",819,28.8,45.6,24.4,21.5,8.5,70,30,58806,58792
"P","00000","STATEWIDE","Female","08","Math",817.4,26.5,43.5,27.2,21.4,7.9,70.6,29.4,57224,57216
"P","00000","STATEWIDE","Black, not of Hispanic Origin","08","Math",801.5,20.2,17.4,27.3,37.3,18.1,44.7,55.3,21501,21494
"P","00000","STATEWIDE","American Indian or Alaskan Native","08","Math",811.2,22.8,34,28.9,27.1,10,63,37,1075,1075
"P","00000","STATEWIDE","Asian or Pacific Islander","08","Math",846.1,38.7,74.3,14.4,8.4,2.9,88.7,11.3,2979,2979
"P","00000","STATEWIDE","Hispanic","08","Math",808.9,23,28.2,30.9,29.8,11.2,59.1,40.9,5061,5061
"P","00000","STATEWIDE","White, Not of Hispanic Origin","08","Math",822.3,27,51.7,25.3,17.2,5.7,77.1,22.9,83992,83977
"P","00000","STATEWIDE","Multiracial","08","Math",813.6,26,36.6,27.7,26.4,9.4,64.2,35.8,1367,1367
"P","00000","STATEWIDE","Other","08","Math","*","*","*","*","*","*","*","*",3,3
"P","00000","STATEWIDE","Unknown","08","Math",799.8,19.5,19.2,26.9,32.7,21.2,46.2,53.8,52,52
"P","00000","STATEWIDE","Students With Disabilities","08","Math",796.6,19.8,12.2,19.5,42.5,25.9,31.6,68.4,12645,12634
"P","00000","STATEWIDE","LEP","08","Math",805.6,24.1,23.4,26.9,34.6,15.2,50.2,49.8,3924,3924
"P","00000","STATEWIDE","ED","08","Math",807.5,22.6,27.6,28.7,30.6,13.2,56.3,43.7,52292,52281
"P","00000","STATEWIDE","All Students","08","Reading",822.7,24.1,30.7,52.7,13.3,3.3,83.4,16.6,115962,115936
"P","00000","STATEWIDE","Male","08","Reading",819.3,23.9,26.1,53.2,16.1,4.6,79.4,20.6,58715,58694
"P","00000","STATEWIDE","Female","08","Reading",826.2,23.8,35.5,52.1,10.4,2.1,87.5,12.5,57247,57242
"P","00000","STATEWIDE","Black, not of Hispanic Origin","08","Reading",812,22.4,15.3,55.7,22.6,6.4,70.9,29.1,21566,21564
"P","00000","STATEWIDE","American Indian or Alaskan Native","08","Reading",818,22.3,21.8,58.9,15.9,3.3,80.7,19.3,1079,1079
"P","00000","STATEWIDE","Asian or Pacific Islander","08","Reading",834.4,26.1,50.3,40.7,7.6,1.4,91,9,2911,2911
"P","00000","STATEWIDE","Hispanic","08","Reading",815.3,22.2,18.5,58,18.6,4.9,76.5,23.5,5044,5042
"P","00000","STATEWIDE","White, Not of Hispanic Origin","08","Reading",825.6,23.6,35,51.9,10.6,2.5,86.9,13.1,83922,83914
"P","00000","STATEWIDE","Multiracial","08","Reading",819.3,23.7,27.2,52,16.2,4.7,79.1,20.9,1370,1370
"P","00000","STATEWIDE","Other","08","Reading","*","*","*","*","*","*","*","*",3,3
"P","00000","STATEWIDE","Unknown","08","Reading",804.1,21.4,5.7,52.8,24.5,17,58.5,41.5,67,53
"P","00000","STATEWIDE","Students With Disabilities","08","Reading",800.6,21.1,6.5,42.2,36.6,14.8,48.6,51.4,12593,12587
"P","00000","STATEWIDE","LEP","08","Reading",806.6,21.7,10.2,50.8,28.8,10.3,61,39,3733,3732
"P","00000","STATEWIDE","ED","08","Reading",814.8,22.6,18.7,56.3,19.6,5.4,75,25,52246,52240
"P","00000","STATEWIDE","All Students","08","Science",819.2,25.7,30.2,45.7,19,5,75.9,24.1,116829,116820
"P","00000","STATEWIDE","Male","08","Science",820.1,27.3,32.7,42.2,19.4,5.7,74.9,25.1,59354,59347
"P","00000","STATEWIDE","Female","08","Science",818.2,24,27.6,49.4,18.6,4.4,77,23,57475,57473
"P","00000","STATEWIDE","Black, not of Hispanic Origin","08","Science",801.3,20.2,7.5,42.5,37.3,12.7,50,50,21651,21650
"P","00000","STATEWIDE","American Indian or Alaskan Native","08","Science",814.3,23.9,21.8,48.6,25.2,4.4,70.4,29.6,1092,1092
"P","00000","STATEWIDE","Asian or Pacific Islander","08","Science",831.3,28,48,38.8,10.7,2.5,86.9,13.1,2981,2981
"P","00000","STATEWIDE","Hispanic","08","Science",809.4,22.2,15.4,49.7,27.6,7.4,65,35,5081,5081
"P","00000","STATEWIDE","White, Not of Hispanic Origin","08","Science",824.1,24.9,36.6,46.5,13.9,3,83.1,16.9,84532,84524
"P","00000","STATEWIDE","Multiracial","08","Science",813.9,24.5,22.8,46.8,23.6,6.8,69.6,30.4,1381,1381
"P","00000","STATEWIDE","Other","08","Science","*","*","*","*","*","*","*","*",3,3
"P","00000","STATEWIDE","Unknown","08","Science",792.1,16.9,1.9,26.9,47.2,24.1,28.7,71.3,108,108
"P","00000","STATEWIDE","Students With Disabilities","08","Science",799.4,22.1,8.6,33.6,41.3,16.4,42.3,57.7,13499,13496
"P","00000","STATEWIDE","LEP","08","Science",800.6,19.8,6.8,41.4,38.6,13.1,48.3,51.7,3950,3950
"P","00000","STATEWIDE","ED","08","Science",809.1,23,16.1,47,28.5,8.5,63.1,36.9,52790,52784
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","All Students","08","Math",798.2,13.9,5.9,35.3,50,8.8,41.2,58.8,34,34
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Male","08","Math",798.1,14.2,9.1,27.3,54.5,9.1,36.4,63.6,22,22
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Female","08","Math",798.5,14.1,0,50,41.7,8.3,50,50,12,12
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Black, not of Hispanic Origin","08","Math",799.7,11.8,4.5,45.5,45.5,4.5,50,50,22,22
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","American Indian or Alaskan Native","08","Math","*","*","*","*","*","*","*","*",1,1
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Hispanic","08","Math","*","*","*","*","*","*","*","*",5,5
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","White, Not of Hispanic Origin","08","Math","*","*","*","*","*","*","*","*",6,6
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Students With Disabilities","08","Math","*","*","*","*","*","*","*","*",7,7
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","LEP","08","Math","*","*","*","*","*","*","*","*",1,1
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","ED","08","Math",798.3,14.1,6.7,36.7,46.7,10,43.3,56.7,30,30
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","All Students","08","Reading",808.6,20.1,8.8,55.9,26.5,8.8,64.7,35.3,34,34
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Male","08","Reading",804.5,20.6,4.5,50,31.8,13.6,54.5,45.5,22,22
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Female","08","Reading",815.9,17.6,16.7,66.7,16.7,0,83.3,16.7,12,12
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Black, not of Hispanic Origin","08","Reading",811.7,16.6,4.5,72.7,18.2,4.5,77.3,22.7,22,22
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","American Indian or Alaskan Native","08","Reading","*","*","*","*","*","*","*","*",1,1
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Hispanic","08","Reading","*","*","*","*","*","*","*","*",5,5
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","White, Not of Hispanic Origin","08","Reading","*","*","*","*","*","*","*","*",6,6
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Students With Disabilities","08","Reading","*","*","*","*","*","*","*","*",7,7
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","LEP","08","Reading","*","*","*","*","*","*","*","*",1,1
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","ED","08","Reading",808.6,20.9,10,53.3,26.7,10,63.3,36.7,30,30
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","All Students","08","Science",796.7,17.8,2.9,32.4,47.1,17.6,35.3,64.7,34,34
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Male","08","Science",796.8,19.6,4.5,31.8,40.9,22.7,36.4,63.6,22,22
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Female","08","Science",796.6,14.6,0,33.3,58.3,8.3,33.3,66.7,12,12
"P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","Black, not of Hispanic Origin","08","Science",797.5,17.9,4.5,31.8,50,13.6,36.4,63.6,22,22
