"D-S_Number","School_Type","District_Number","District_Name","Building Code","Building_Name","Grade","Subject","AvgSS","StdDev","Level_1","Level_2","Level_3","Level_4","Met/Exceeded_Standards","Did_Not_Meet_Standards","Number_Tested","Number_Included"
"00000-00000-03-M","P","00000","STATEWIDE","00000"," ","03","Math",330.4,21.9,51.6,43.2,5.1,0.1,94.8,5.2,113026,113005
"00000-00000-03-R","P","00000","STATEWIDE","00000"," ","03","Reading",331,24.3,38.8,51.1,9.1,1.1,89.8,10.2,112497,112375
"82921-00000-03-M","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","03","Math",342.6,24.3,68.2,31.8,0,0,100,0,44,44
"82921-00000-03-R","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","03","Reading",334.6,23.9,40.9,54.5,4.5,0,95.5,4.5,44,44
"82921-09332-03-M","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","09332","ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMENTARY","03","Math",342.6,24.3,68.2,31.8,0,0,100,0,44,44
"82921-09332-03-R","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","09332","ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMENTARY","03","Reading",334.6,23.9,40.9,54.5,4.5,0,95.5,4.5,44,44
"82909-00000-03-M","P","82909","ACADEMY OF DETROIT-WEST","00000"," ","03","Math",307.2,11.5,6.7,66.7,26.7,0,73.3,26.7,45,45
"82909-00000-03-R","P","82909","ACADEMY OF DETROIT-WEST","00000"," ","03","Reading",304.6,18,2.3,50,43.2,4.5,52.3,47.7,44,44
"82909-08950-03-M","P","82909","ACADEMY OF DETROIT-WEST","08950","ACADEMY OF DETROIT-WEST","03","Math",307.2,11.5,6.7,66.7,26.7,0,73.3,26.7,45,45
"82909-08950-03-R","P","82909","ACADEMY OF DETROIT-WEST","08950","ACADEMY OF DETROIT-WEST","03","Reading",304.6,18,2.3,50,43.2,4.5,52.3,47.7,44,44
"25908-00000-03-M","P","25908","ACADEMY OF FLINT","00000"," ","03","Math",321.5,17.1,34.7,57.3,8,0,92,8,75,75
"25908-00000-03-R","P","25908","ACADEMY OF FLINT","00000"," ","03","Reading",316.7,21.5,16.2,58.1,24.3,1.4,74.3,25.7,74,74
"25908-08738-03-M","P","25908","ACADEMY OF FLINT","08738","ACADEMY OF FLINT","03","Math",321.5,17.1,34.7,57.3,8,0,92,8,75,75
"25908-08738-03-R","P","25908","ACADEMY OF FLINT","08738","ACADEMY OF FLINT","03","Reading",316.7,21.5,16.2,58.1,24.3,1.4,74.3,25.7,74,74
"63904-00000-03-M","P","63904","ACADEMY OF LATHRUP VILLAGE","00000"," ","03","Math",312.1,10.5,5.7,82.9,11.4,0,88.6,11.4,35,35
"63904-00000-03-R","P","63904","ACADEMY OF LATHRUP VILLAGE","00000"," ","03","Reading",308.9,19.7,5.7,57.1,34.3,2.9,62.9,37.1,35,35
"63904-08293-03-M","P","63904","ACADEMY OF LATHRUP VILLAGE","08293","ACADEMY OF LATHRUP VILLAGE","03","Math",312.1,10.5,5.7,82.9,11.4,0,88.6,11.4,35,35
"63904-08293-03-R","P","63904","ACADEMY OF LATHRUP VILLAGE","08293","ACADEMY OF LATHRUP VILLAGE","03","Reading",308.9,19.7,5.7,57.1,34.3,2.9,62.9,37.1,35,35
"63902-00000-03-M","P","63902","ACADEMY OF OAK PARK","00000"," ","03","Math",323.1,15.1,38.3,57.4,4.3,0,95.7,4.3,47,47
"63902-00000-03-R","P","63902","ACADEMY OF OAK PARK","00000"," ","03","Reading",320.2,16.3,16.7,72.9,10.4,0,89.6,10.4,52,48
"63902-08681-03-M","P","63902","ACADEMY OF OAK PARK","08681","ACADEMY OF OAK PARK - ELEMENTARY SCHOOL","03","Math",323.1,15.1,38.3,57.4,4.3,0,95.7,4.3,47,47
"63902-08681-03-R","P","63902","ACADEMY OF OAK PARK","08681","ACADEMY OF OAK PARK - ELEMENTARY SCHOOL","03","Reading",320.2,16.3,16.7,72.9,10.4,0,89.6,10.4,52,48
"63903-00000-03-M","P","63903","ACADEMY OF SOUTHFIELD","00000"," ","03","Math",326.9,18.3,54.3,42.9,2.9,0,97.1,2.9,35,35
"63903-00000-03-R","P","63903","ACADEMY OF SOUTHFIELD","00000"," ","03","Reading",337.4,27.7,51.4,40,8.6,0,91.4,8.6,35,35
"63903-08292-03-M","P","63903","ACADEMY OF SOUTHFIELD","08292","ACADEMY OF SOUTHFIELD","03","Math",326.9,18.3,54.3,42.9,2.9,0,97.1,2.9,35,35
"63903-08292-03-R","P","63903","ACADEMY OF SOUTHFIELD","08292","ACADEMY OF SOUTHFIELD","03","Reading",337.4,27.7,51.4,40,8.6,0,91.4,8.6,35,35
"50911-00000-03-M","P","50911","ACADEMY OF WARREN","00000"," ","03","Math",311.8,13.1,15.2,63.3,21.5,0,78.5,21.5,79,79
"50911-00000-03-R","P","50911","ACADEMY OF WARREN","00000"," ","03","Reading",313.7,21.7,18.8,53.8,21.3,6.3,72.5,27.5,80,80
"50911-09602-03-M","P","50911","ACADEMY OF WARREN","09602","ACADEMY OF WARREN","03","Math",311.8,13.1,15.2,63.3,21.5,0,78.5,21.5,79,79
"50911-09602-03-R","P","50911","ACADEMY OF WARREN","09602","ACADEMY OF WARREN","03","Reading",313.7,21.7,18.8,53.8,21.3,6.3,72.5,27.5,80,80
"63916-00000-03-M","P","63916","ACADEMY OF WATERFORD","00000"," ","03","Math",323.4,18.6,30.4,60.9,8.7,0,91.3,8.7,23,23
