"D-S_Number","School_Type","District_Number","District_Name","Building Code","School_Name","Grade","Subject","AvgSS","StdDev","Level_1","Level_2","Level_3","Level_4","Met/Exceeded_Standards","Did_Not_Meet_Standards","Number_Tested","Number_Included"
"00000-00000-04-M","P","00000","STATEWIDE","00000"," ","04","Math",429.9,23.2,45.3,46.9,7.4,0.3,92.3,7.7,113762,113736
"00000-00000-04-R","P","00000","STATEWIDE","00000"," ","04","Reading",433.5,33.1,37.2,46.9,13.9,2,84.1,15.9,113079,113045
"82921-00000-04-M","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","04","Math",433.3,20.4,50,47.5,2.5,0,97.5,2.5,40,40
"82921-00000-04-R","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","00000"," ","04","Reading",427.4,27.9,20,65,15,0,85,15,40,40
"82921-09332-04-M","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","09332","ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMENTARY","04","Math",433.3,20.4,50,47.5,2.5,0,97.5,2.5,40,40
"82921-09332-04-R","P","82921","ACADEMY FOR BUSINESS AND TECHNOLOGY","09332","ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMENTARY","04","Reading",427.4,27.9,20,65,15,0,85,15,40,40
"82909-00000-04-M","P","82909","ACADEMY OF DETROIT-WEST","00000"," ","04","Math",413.9,16.9,14.6,62.5,22.9,0,77.1,22.9,48,48
"82909-00000-04-R","P","82909","ACADEMY OF DETROIT-WEST","00000"," ","04","Reading",406.2,24.3,6.3,56.3,25,12.5,62.5,37.5,48,48
"82909-08950-04-M","P","82909","ACADEMY OF DETROIT-WEST","08950","ACADEMY OF DETROIT-WEST","04","Math",413.9,16.9,14.6,62.5,22.9,0,77.1,22.9,48,48
"82909-08950-04-R","P","82909","ACADEMY OF DETROIT-WEST","08950","ACADEMY OF DETROIT-WEST","04","Reading",406.2,24.3,6.3,56.3,25,12.5,62.5,37.5,48,48
"25908-00000-04-M","P","25908","ACADEMY OF FLINT","00000"," ","04","Math",425.2,27,41.4,34.5,24.1,0,75.9,24.1,58,58
"25908-00000-04-R","P","25908","ACADEMY OF FLINT","00000"," ","04","Reading",415.5,30.6,15.3,54.2,27.1,3.4,69.5,30.5,59,59
"25908-08738-04-M","P","25908","ACADEMY OF FLINT","08738","ACADEMY OF FLINT","04","Math",425.2,27,41.4,34.5,24.1,0,75.9,24.1,58,58
