"DCODE-BCODE";"DNAME - BNAME";"DCODE";"DNAME";0;"BCODE";"BNAME";0
"00000-00000";"ALL DISTRICTS - ALL SCHOOLS";"00000";"ALL DISTRICTS";0;"00000";"ALL SCHOOLS";0
"01010-00000";"ALCONA COMMUNITY SCHOOLS - ALL SCHOOLS";"01010";"ALCONA COMMUNITY SCHOOLS";0;"00001";"A.A. RATHER SCHOOL";0
"01010-00044";"ALCONA COMMUNITY SCHOOLS - ALCONA COMMUNITY HIGH SCHOOL";"02010";"AUTRAIN-ONOTA PUBLIC SCHOOLS";0;"00002";"A.C. EDGERTON ELEMENTARY SCHOOL";0
"01010-04937";"ALCONA COMMUNITY SCHOOLS - ALCONA ELEMENTARY SCHOOL";"02020";"BURT TOWNSHIP SCHOOL DISTRICT";0;"00003";"A.D. JOHNSTON JR/SR HIGH SCHOOL";0
"01010-08833";"ALCONA COMMUNITY SCHOOLS - ALCONA MIDDLE SCHOOL";"02070";"MUNISING PUBLIC SCHOOLS";0;"00005";"HOLMES, A.L.  ELEMENTARY SCHOOL";0
"02010-00000";"AUTRAIN-ONOTA PUBLIC SCHOOLS - ALL SCHOOLS";"02080";"SUPERIOR CENTRAL SCHOOLS";0;"00006";"ABBOT SCHOOL";0
"02010-04959";"AUTRAIN-ONOTA PUBLIC SCHOOLS - AUTRAIN-ONOTA PUBLIC SCHOOL";"03000";"ALLEGAN AREA EDUCATIONAL SERVICE AGENCY";0;"00014";"ADA ELEMENTARY SCHOOL";0
"02020-00000";"BURT TOWNSHIP SCHOOL DISTRICT - ALL SCHOOLS";"03010";"PLAINWELL COMMUNITY SCHOOLS";0;"00016";"ADAMS ELEMENTARY SCHOOL";0
"02020-04999";"BURT TOWNSHIP SCHOOL DISTRICT - BURT TOWNSHIP SCHOOL";"03020";"OTSEGO PUBLIC SCHOOLS";0;"00017";"ADAMS MIDDLE SCHOOL";0
"02070-00000";"MUNISING PUBLIC SCHOOLS - ALL SCHOOLS";"03030";"ALLEGAN PUBLIC SCHOOLS";0;"00023";"ADDISON HIGH SCHOOL";0
"02070-00597";"MUNISING PUBLIC SCHOOLS - CENTRAL ELEMENTARY SCHOOL";"03040";"WAYLAND UNION SCHOOLS";0;"00024";"ADLAI STEVENSON ELEMENTARY SCHOOL";0
"02070-01928";"MUNISING PUBLIC SCHOOLS - MUNISING HIGH AND MIDDLE SCHOOL";"03050";"FENNVILLE PUBLIC SCHOOLS";0;"00025";"STEVENSON HIGH SCHOOL";0
"02080-00000";"SUPERIOR CENTRAL SCHOOLS - ALL SCHOOLS";"03060";"MARTIN PUBLIC SCHOOLS";0;"00027";"ADRIAN HIGH SCHOOL";0
"02080-04860";"SUPERIOR CENTRAL SCHOOLS - SUPERIOR CENTRAL SCHOOL";"03070";"HOPKINS PUBLIC SCHOOLS";0;"00028";"ADRIAN MIDDLE SCHOOL 5/6 BUILDING";0
"03000-00000";"ALLEGAN AREA EDUCATIONAL SERVICE AGENCY - ALL SCHOOLS";"03080";"SAUGATUCK PUBLIC SCHOOLS";0;"00029";"DAVIS AEROSPACE HIGH SCHOOL";0
"03000-06730";"ALLEGAN AREA EDUCATIONAL SERVICE AGENCY - HILLSIDE LEARNING & BEHAVIOR CENTER";"03100";"HAMILTON COMMUNITY SCHOOLS";0;"00031";"CARMAN-AINSWORTH MIDDLE SCHOOL";0
"03000-08165";"ALLEGAN AREA EDUCATIONAL SERVICE AGENCY - ALLEGAN COUNTY YOUTH HOME";"03440";"GLENN PUBLIC SCHOOL DISTRICT";0;"00033";"AKRON-FAIRGROVE ELEM. SCHOOL";0
"03010-00000";"PLAINWELL COMMUNITY SCHOOLS - ALL SCHOOLS";"03901";"DISCOVERY ELEMENTARY SCHOOL";0;"00034";"AKRON-FAIRGROVE JR/SR HIGH SCHOOL";0
"03010-00790";"PLAINWELL COMMUNITY SCHOOLS - COOPER ELEMENTARY SCHOOL";"03902";"OUTLOOK ACADEMY";0;"00037";"ALAIEDON ELEMENTARY SCHOOL";0
"03010-01403";"PLAINWELL COMMUNITY SCHOOLS - GILKEY ELEMENTARY SCHOOL";"04010";"ALPENA PUBLIC SCHOOLS";0;"00041";"ALBEE ELEMENTARY SCHOOL";0
"03010-03065";"PLAINWELL COMMUNITY SCHOOLS - PLAINWELL HIGH SCHOOL";"04901";"BINGHAM ACADEMY";0;"00043";"ALBERT SCHWEITZER ELEMENTARY SCHOOL";0
"03010-04056";"PLAINWELL COMMUNITY SCHOOLS - STARR ELEMENTARY SCHOOL";"05010";"ALBA PUBLIC SCHOOLS";0;"00044";"ALCONA COMMUNITY HIGH SCHOOL";0
"03010-06000";"PLAINWELL COMMUNITY SCHOOLS - PLAINWELL MIDDLE SCHOOL";"05035";"CENTRAL LAKE PUBLIC SCHOOLS";0;"00045";"ALCOTT SCHOOL";0
"03010-08016";"PLAINWELL COMMUNITY SCHOOLS - RENAISSANCE HIGH SCHOOL";"05040";"BELLAIRE PUBLIC SCHOOLS";0;"00046";"ALEXANDER ELEMENTARY SCHOOL";0
"03020-00000";"OTSEGO PUBLIC SCHOOLS - ALL SCHOOLS";"05060";"ELK RAPIDS SCHOOLS";0;"00047";"HAMILTON ELEMENTARY";0
"03020-00922";"OTSEGO PUBLIC SCHOOLS - DIX STREET ELEMENTARY SCHOOL";"05065";"ELLSWORTH COMMUNITY SCHOOL";0;"00048";"ALEXANDER HAMILTON ELEMENTARY SCHOOL";0
"03020-02863";"OTSEGO PUBLIC SCHOOLS - OTSEGO MIDDLE SCHOOL";"05070";"MANCELONA PUBLIC SCHOOLS";0;"00050";"ALEXANDER SCHOOL";0
"03020-02864";"OTSEGO PUBLIC SCHOOLS - WASHINGTON STREET ELEMENTARY SCHOOL";"05901";"CONCORD ACADEMY: ANTRIM";0;"00053";"ALGONAC ELEMENTARY SCHOOL";0
"03020-02865";"OTSEGO PUBLIC SCHOOLS - OTSEGO HIGH SCHOOL";"06010";"ARENAC EASTERN SCHOOL DISTRICT";0;"00054";"ALGONAC HIGH SCHOOL";0
