;;;;;;;;;;;;;
;"Grade";"R";"R";"R";"R";"R";;"Grade";"R";"R";"R";"R";"R"
;3;"00000-00000-03-R";"00000-00000-03-R";"00000-00000-03-R";"00000-00000-03-R";"00000-00000-03-R";;3;"00000-00000-03-R";"00000-00000-03-R";"00000-00000-03-R";"00000-00000-03-R";"00000-00000-03-R"
;4;"00000-00000-04-R";"00000-00000-04-R";"00000-00000-04-R";"00000-00000-04-R";"00000-00000-04-R";;4;"00000-00000-04-R";"00000-00000-04-R";"00000-00000-04-R";"00000-00000-04-R";"00000-00000-04-R"
;5;"00000-00000-05-R";"00000-00000-05-R";"00000-00000-05-R";"00000-00000-05-R";"00000-00000-05-R";;5;"00000-00000-05-R";"00000-00000-05-R";"00000-00000-05-R";"00000-00000-05-R";"00000-00000-05-R"
;6;"00000-00000-06-R";"00000-00000-06-R";"00000-00000-06-R";"00000-00000-06-R";"00000-00000-06-R";;6;"00000-00000-06-R";"00000-00000-06-R";"00000-00000-06-R";"00000-00000-06-R";"00000-00000-06-R"
;7;"00000-00000-07-R";"00000-00000-07-R";"00000-00000-07-R";"00000-00000-07-R";"00000-00000-07-R";;7;"00000-00000-07-R";"00000-00000-07-R";"00000-00000-07-R";"00000-00000-07-R";"00000-00000-07-R"
;8;"00000-00000-08-R";"00000-00000-08-R";"00000-00000-08-R";"00000-00000-08-R";"00000-00000-08-R";;8;"00000-00000-08-R";"00000-00000-08-R";"00000-00000-08-R";"00000-00000-08-R";"00000-00000-08-R"
;;;;;;;;;;;;;
;"REPORT OF PERCENT IN EACH PERFORMANCE LEVEL FOR";;;;;;;"REPORT OF PERCENT PROFICIENT OR ADVANCED FOR";;;;;
;"DISTRICT:  ALL DISTRICTS";;;;;;;"DISTRICT:  ";;;;;
;"SCHOOL:  ALL SCHOOLS";;;;;;;"SCHOOL:  ";;;;;
;"Grade";"Performance Level";;;;;;"Grade";"Subject";;;;
;;"Not
Proficient";"Partially
Proficient";"Proficient";"Advanced";"Proficient or
Advanced";;;"Not
Proficient";"Partially
Proficient";"Proficient";"Advanced";"Proficient or
Advanced"
;3;1.1;9.1;51.1;38.8;89.8;;3;1.1;9.1;51.1;38.8;89.8
;4;2.0;13.9;46.9;37.2;84.1;;4;2.0;13.9;46.9;37.2;84.1
;5;5.1;9.7;41.6;43.6;85.2;;5;5.1;9.7;41.6;43.6;85.2
;6;2.0;10.3;60.7;27.0;87.7;;6;2.0;10.3;60.7;27.0;87.7
;7;6.7;11.3;46.0;36.0;82.0;;7;6.7;11.3;46.0;36.0;82.0
;8;3.3;13.3;52.7;30.7;83.4;;8;3.3;13.3;52.7;30.7;83.4
;;;;;;;;;;;;;
;"REPORT OF PERCENT IN EACH PERFORMANCE LEVEL FOR";;;;;;;;;;;;
;"DISTRICT:  ALL DISTRICTS";;;;;;;;;;;;
;"SCHOOL:  ALL SCHOOLS";;;;;;;;;;;;
;"Grade";"Performance Level";;;;;;;;;;;
;;"Not
Proficient";"Partially
Proficient";"Proficient";"Advanced";"Proficient or
Advanced";;;;;;;
;3;1.1;9.1;51.1;38.8;89.8;;;;;;;
;4;2.0;13.9;46.9;37.2;84.1;;;;;;;
;5;5.1;9.7;41.6;43.6;85.2;;;;;;;
;6;2.0;10.3;60.7;27.0;87.7;;;;;;;
;7;6.7;11.3;46.0;36.0;82.0;;;;;;;
;8;3.3;13.3;52.7;30.7;83.4;;;;;;;
;;;;;;;;;;;;;
;"STATEWIDE REPORT OF PERCENT IN EACH PERFORMANCE LEVEL";;;;;;;;;;;;
;"Grade";"Performance Level";;;;;;;;;;;
;;"Not
Proficient";"Partially
Proficient";"Proficient";"Advanced";"Proficient or
Advanced";;;;;;;
;3;1.1;9.1;51.1;38.8;89.8;;;;;;;
;4;2.0;13.9;46.9;37.2;84.1;;;;;;;
;5;5.1;9.7;41.6;43.6;85.2;;;;;;;
;6;2.0;10.3;60.7;27.0;87.7;;;;;;;
;7;6.7;11.3;46.0;36.0;82.0;;;;;;;
;8;3.3;13.3;52.7;30.7;83.4;;;;;;;
;;;;;;;;;;;;;
;"DIFFERENCE FROM STATEWIDE PERCENTS IN PERFORMANCE LEVELS FOR";;;;;;;;;;;;
;"DISTRICT:  ALL DISTRICTS";;;;;;;;;;;;
;"SCHOOL:  ALL SCHOOLS";;;;;;;;;;;;
;"Grade";"Performance Level";;;;;;;;;;;
;;"Not
Proficient";"Partially
Proficient";"Proficient";"Advanced";"Proficient or
Advanced";;;;;;;
;3;0.0;0.0;0.0;0.0;0.0;;;;;;;
;4;0.0;0.0;0.0;0.0;0.0;;;;;;;
;5;0.0;0.0;0.0;0.0;0.0;;;;;;;
;6;0.0;0.0;0.0;0.0;0.0;;;;;;;
;7;0.0;0.0;0.0;0.0;0.0;;;;;;;
;8;0.0;0.0;0.0;0.0;0.0;;;;;;;
