DistCode,BldgCode,SchName,Address,City,Zip5,Zip4,AreaCode,Phone3,Phone4,BldgType,Denom,ISDCode,CountyCode,Admin,CntEmail,SchUpdated,MeetReq,SpEdCount,PrtTimeCnt,NeedyCount,InstrHours,InstrDays,ReligYes,ReligNo,CrtPrmYES,CrtPrmNO,CrimCkYES,CrimCkNO,MICert,MIPermits,NoHSDipl,HSDiploma,Bachelors,OtherCert,TotalTeach,Pre_K,Grade_K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,tot_all,EngRead,Math,SocStudies,Science,USConst,MIConst,History,TCountPrK,TCountK8,TCount9_12,TotTCount,PCountPrK,PCountK8,PCount9_12,TotPCount,OCountPrK,OCountK8,OCount9_12,TotOCounts
02070,07092,CALVARY,M-28 WEST  PO BOX 68*,MUNISING,49862,,906,387,2942,Elementary School (Pre-K or K through 6-8),Seventh Day Adventist (SDA),52,02,DAISY NIEMAN,BDAVIS@MISDA.ORG,40294.5769560185,Yes,0,0,2,31,176,No,Yes,Yes,No,Yes,No,1,,,,,,1,,,,,,,3,,1,3,,,,,7,1,1,1,1,0,0,0,,1,,1,,,,0,,,,0
03020,02367,OTSEGO BAPTIST ACADEMY,247 EAST ALLEGAN ST,OTSEGO,49078,,269,694,6738,Elementary School (Pre-K or K through 6-8),Baptist,03,03,JOSEPH M DELINSKI,JD@FBCOTSEGO.ORG,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
03020,02888,PEACE EVAN LUTHERAN SCHOOL,805 SOUTH WILMOTT STREET,OTSEGO,49078,,269,694,6104,Elementary School (Pre-K or K through 6-8),Lutheran (Wisconsin Synod),03,03,JUSTIN GUT,PEACEOTSEGO@SBCGLOBAL.NET,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
03020,03850,ST MARGARET SCHOOL,736 SOUTH FARMER STREET,OTSEGO,49078,,269,694,2951,Elementary School (Pre-K or K through 6-8),Roman Catholic,03,03,ERIN BUSH,ERINMBUSH@NETSCAPE.NET,40068.7754050926,Yes,0,0,9,35,172,No,Yes,Yes,No,Yes,No,8,0,,,,,8,30,16,13,9,9,5,6,10,9,6,0,0,0,0,113,1,1,1,1,1,0,0,,8,,8,,1,,1,1,,,1
03060,05092,EAST MARTIN CHRISTIAN SCHOOL,516 118TH AVENUE,MARTIN,49070,,269,672,5722,Elementary School (Pre-K or K through 6-8),Christian (CSI),03,03,KEITH FENNEMA,EASTMARTIN@EMCES.ORG,40089.6221296296,Yes,3,0,4,33,172,No,Yes,No,Yes,Yes,No,7,,,1,,,8,,8,13,7,12,7,7,12,10,8,,,,,84,1,1,1,1,1,1,1,,5,,5,,,,0,,,,0
03070,05173,ST MARY'S VISITATION SCHOOL,2455 146TH AVENUE,BYRON CENTER,49315,,616,681,9607,Elementary School (Pre-K or K through 6-8),Roman Catholic,03,03,GAIL LEWIS,GLEWIS@SMVSCHOOL.ORG,40096.8826388889,Yes,6,0,10,33,170,No,Yes,Yes,No,Yes,No,7,,,,,,7,20,8,6,14,5,12,13,9,,,,,,,87,1,1,1,1,0,0,0,1,7,,8,1,1,,2,,,,0
03070,06624,ST PAUL'S LUTHERAN SCHOOL,2912 24TH STREET,HOPKINS,49328,,269,793,7481,Elementary School (Pre-K or K through 6-8),Lutheran (Wisconsin Synod),03,03,MICHAEL SMITH,STPAULSHOPKINS@HOTMAIL.COM,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
04010,01831,IMMANUEL LUTHERAN SCHOOL,355 WILSON STREET,ALPENA,49707,,989,354,4805,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),04,04,PAMELA WHITE,ilsalpena@deepnet.net,40096.761087963,Yes,1,0,,,,No,Yes,Yes,No,Yes,No,7,,,,,,7,20,4,8,12,8,13,10,6,7,5,,,,,93,1,1,1,1,1,0,1,,,,0,,,,0,,,,0
04010,03609,ALL SAINTS CATHOLIC SCHOOL,500 NORTH SECOND AVENUE,ALPENA,49707,,989,354,4911,Elementary School (Pre-K or K through 6-8),Roman Catholic,04,04,MARY LIGHTNER,allsaints@speednetllc.com,40089.5614814815,Yes,0,0,17,31,174,No,Yes,Yes,No,Yes,No,6,,,,,,6,18,11,4,9,10,7,10,9,,,,,,,78,1,1,1,1,0,0,0,,5,,5,1,,,1,,,,0
04010,04943,ALPENA SDA ELEMENTARY SCHOOL,4029 HIGHWAY 23 SOUTH,ALPENA,49707,,989,356,2932,Elementary School (Pre-K or K through 6-8),Seventh Day Adventist (SDA),04,04,SARAH TAYLOR,BDAVIS@MISDA.ORG,40086.4188310185,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,,,,,1,,1,,,3,1,2,1,,,2,,,,,,9,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
