Free and Reduced-Price Lunch Counts,,,,,,,
Fall 2009 Building-Level Data: Adult Education,,,,,,,
,,,,,,,
DCODE,District_Name,BCODE,Entity_Name,Free Lunch Eligible,Reduced-Price Lunch Eligible,Not Eligible,Total Count
03010,Plainwell Community Schools,03065,Plainwell High School,0,0,1,1
03010,Plainwell Community Schools,08016,Renaissance High School,3,0,14,17
03020,Otsego Public Schools,09525,Otsego West Campus High School,3,1,6,10
03030,Allegan Public Schools,03535,Allegan Alternative High School,9,0,60,69
03050,Fennville Public Schools,05790,Pearl Alternative/Adult Education School,8,0,64,72
04010,Alpena Public Schools,07361,OxBow ACES Academy/Alternative and Adult Ed,7,0,22,29
07020,Baraga Area Schools,00198,Baraga Area High School,9,0,17,26
08010,Delton-Kellogg School District,07761,Delton-Kellogg Alternative H.S.,10,0,61,71
09010,Bay City School District,08914,Bay City Adult Education/CTP,10,0,22,32
11010,Benton Harbor Area Schools,00286,Benton Harbor High School,12,1,17,30
11210,Brandywine Community Schools,08161,Bell Education Center,7,0,31,38
11240,Berrien Springs Public Schools,00297,Berrien Springs High School,0,0,46,46
11300,Niles Community School District,08948,Niles Comm. Schools Adult Education,11,0,87,98
12010,Coldwater Community Schools,00744,Coldwater High School,7,0,61,68
13020,Battle Creek Public Schools,07858,Battle Creek Adult Education,23,0,107,130
14010,Cassopolis Public Schools,07867,Cassopolis Adult Education,31,0,104,135
14020,Dowagiac Union School District,02193,Pathfinders Alternative Ed,15,0,71,86
17090,Pickford Public Schools,09417,Consolidated Community School Services,17,0,76,93
18010,Clare Public Schools,07754,Pioneer High and Clare Adult Ed.,40,0,80,120
20015,Crawford AuSable Schools,09822,Frederic School,5,0,17,22
22010,Iron Mountain Public Schools,08831,IM-K Community Education,17,0,31,48
23065,Maple Valley Schools,07776,Kellogg Education Center,11,0,16,27
23090,Potterville Public Schools,07894,CAP Adult and Alternative Education,13,0,28,41
25010,Flint City School District,05950,Zimmerman Center,63,0,210,273
25040,Mt. Morris Consolidated Schools,07691,Mt. Morris Alternative Ed.,11,0,56,67
25060,Bendle Public Schools,07710,Bendle/Carman-Ainsworth Alternative Education,41,0,84,125
