District Code,District Name,Building Code,Building Name,free_lunch_eligible,reduced_price_lunch_eligible,Not Eligible,Total Count
01010,Alcona Community Schools,00044,Alcona Community High School,92,39,183,314
01010,Alcona Community Schools,04937,Alcona Elementary School,176,28,136,340
01010,Alcona Community Schools,08833,Alcona Middle School,115,18,112,245
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,22,5,17,44
02020,Burt Township School District,04999,Burt Township School,30,4,7,41
02070,Munising Public Schools,00597,William G. Mather Elementary School,152,25,173,350
02070,Munising Public Schools,01928,Munising High and Middle School,99,27,202,328
02080,Superior Central Schools,04860,Superior Central School,109,52,221,382
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,71,18,39,128
03000,Allegan Area Educational Service Agency,09075,Wayland Young Adult Program,1,0,7,8
03000,Allegan Area Educational Service Agency,09076,Plainwell Young Adult Program,1,0,8,9
03010,Plainwell Community Schools,00790,Cooper Elementary School,48,19,208,275
03010,Plainwell Community Schools,01403,Gilkey Elementary School,73,16,277,366
03010,Plainwell Community Schools,03065,Plainwell High School,149,42,685,876
03010,Plainwell Community Schools,04056,Starr Elementary School,233,34,279,546
03010,Plainwell Community Schools,06000,Plainwell Middle School,171,37,439,647
03010,Plainwell Community Schools,08016,Renaissance High School,30,5,22,57
03020,Otsego Public Schools,00922,Dix Street Elementary School,140,22,185,347
03020,Otsego Public Schools,02863,Otsego Middle School,153,38,315,506
03020,Otsego Public Schools,02864,Washington Street Elementary School,166,27,238,431
03020,Otsego Public Schools,02865,Otsego High School,141,50,514,705
03020,Otsego Public Schools,04851,Alamo Elementary School,63,22,175,260
03020,Otsego Public Schools,09525,Otsego West Campus High School,27,3,23,53
03030,Allegan Public Schools,00059,L.E. White Middle School,221,67,281,569
03030,Allegan Public Schools,00062,Allegan High School,211,64,555,830
03030,Allegan Public Schools,00881,Dawson Elementary School,157,26,167,350
03030,Allegan Public Schools,02748,North Ward Elementary School,124,30,133,287
03030,Allegan Public Schools,03535,Allegan Alternative High School,88,5,57,150
03030,Allegan Public Schools,04469,West Ward Elementary School,111,31,168,310
03030,Allegan Public Schools,05954,Pine Trails Elementary School,174,22,140,336
03040,Wayland Union Schools,00307,Bessie B. Baker School,179,43,178,400
03040,Wayland Union Schools,00936,Dorr School,136,52,314,502
03040,Wayland Union Schools,03224,R.J. Steeby School,94,30,114,238
03040,Wayland Union Schools,04404,Wayland High School,216,76,647,939
03040,Wayland Union Schools,06778,Pine Street Elementary,122,50,236,408
03040,Wayland Union Schools,08421,Wayland Union Middle School,145,49,256,450
03050,Fennville Public Schools,01217,Fennville Public High School,250,55,153,458
03050,Fennville Public Schools,05790,Pearl Alternative/Adult Education School,35,2,34,71
03050,Fennville Public Schools,07311,Fennville Middle School,196,29,92,317
03050,Fennville Public Schools,07494,Fennville Elementary School,434,78,161,673
03060,Martin Public Schools,02402,Martin High School,118,32,149,299
03060,Martin Public Schools,06034,Robert D. Brandon Elem. School,135,26,148,309
03070,Hopkins Public Schools,01756,Hopkins Elementary School,148,45,223,416
03070,Hopkins Public Schools,01757,Hopkins High School,139,33,386,558
03070,Hopkins Public Schools,06025,Sycamore Elementary School,57,32,274,363
03070,Hopkins Public Schools,08807,Hopkins Middle School,94,35,224,353
03080,Saugatuck Public Schools,00941,Douglas Elementary School,112,38,264,414
03080,Saugatuck Public Schools,03409,Saugatuck High School,55,28,164,247
03080,Saugatuck Public Schools,08889,Saugatuck Middle School,55,16,125,196
03100,Hamilton Community Schools,01545,Hamilton Elementary School,90,36,328,454
03100,Hamilton Community Schools,01547,Hamilton High School,108,59,626,793
03100,Hamilton Community Schools,01548,Blue Star Elementary School,78,14,214,306
03100,Hamilton Community Schools,03403,Sandyview Elementary School,24,12,98,134
03100,Hamilton Community Schools,04975,Bentheim Elementary School,38,34,227,299
03100,Hamilton Community Schools,08890,Hamilton Middle School,105,61,434,600
03440,Glenn Public School District,01415,Glenn Public School,11,3,27,41
03902,Outlook Academy,09085,Outlook Academy,13,8,4,25
03902,Outlook Academy,09987,Outlook Academy - Youth Home Campus,28,0,0,28
04000,Alpena-Montmorency-Alcona ESD,00808,Pied Piper Opportunity Center,35,6,29,70
04000,Alpena-Montmorency-Alcona ESD,09473,ESD Sp Ed Programs in LEA Facilities,9,0,12,21
04010,Alpena Public Schools,00075,Alpena High School,445,141,924,1510
04010,Alpena Public Schools,00106,Besser Elementary School,178,30,234,442
04010,Alpena Public Schools,01110,Ella M. White School,173,32,177,382
04010,Alpena Public Schools,01688,Hinks School,98,29,136,263
04010,Alpena Public Schools,02185,Lincoln Community School,144,11,40,195
04010,Alpena Public Schools,02251,Long Rapids Elementary School,58,17,88,163
04010,Alpena Public Schools,03392,Sanborn School,140,31,115,286
04010,Alpena Public Schools,04552,Wilson Community School,82,26,82,190
04010,Alpena Public Schools,05499,Sunset Elementary School,88,22,80,190
04010,Alpena Public Schools,05507,Thunder Bay Junior High School,234,60,355,649
04010,Alpena Public Schools,07361,OxBow ACES Academy/Alternative and Adult Ed,115,8,48,171
04901,Bingham Academy,09444,Bingham Academy,88,10,44,142
05010,Alba Public Schools,06938,Alba School,117,37,59,213
05035,Central Lake Public Schools,00609,Central Lake Public School,168,38,172,378
05040,Bellaire Public Schools,00261,Bellaire Middle/High School,90,22,179,291
05040,Bellaire Public Schools,05894,John R Rodger Elementary School,101,24,108,233
05060,Elk Rapids Schools,00662,Elk Rapids High School,105,17,387,509
05060,Elk Rapids Schools,00665,Cherryland Middle School,104,28,217,349
05060,Elk Rapids Schools,02090,Lakeland Elementary School,123,32,223,378
05060,Elk Rapids Schools,07458,Mill Creek Elementary School,78,27,208,313
05065,Ellsworth Community School,05859,Ellsworth Community School,74,31,125,230
05070,Mancelona Public Schools,02332,Mancelona Elementary School,275,70,98,443
05070,Mancelona Public Schools,02333,Mancelona High School,147,65,124,336
05070,Mancelona Public Schools,06599,Mancelona Middle School,176,50,90,316
05901,Concord Montessori and Community School,08626,Concord Montessori and Community School,118,0,51,169
06010,Arenac Eastern School District,06950,Arenac Eastern Middle/High School,96,26,41,163
06010,Arenac Eastern School District,09267,Arenac Eastern Elementary School,79,10,18,107
06020,Au Gres-Sims School District,00146,Au Gres-Sims Elementary School,97,21,71,189
06020,Au Gres-Sims School District,00147,Au Gres-Sims Middle and High School,85,27,99,211
06050,Standish-Sterling Community Schools,04049,Standish Elementary School,201,26,176,403
06050,Standish-Sterling Community Schools,04050,Standish-Sterling Central High School,224,47,319,590
06050,Standish-Sterling Community Schools,04068,Sterling Elementary School,126,27,120,273
06050,Standish-Sterling Community Schools,08901,Standish-Sterling Middle School,247,56,233,536
