Free and Reduced-Price Lunch Counts,,,,,,,,
Fall 2009 Building-Level Data: K-12 Counts by Grades,,,,,,,,
Includes Grades K through 12 plus Ungraded Special Education (14),,,,,,,,
DCODE,District_Name,BCODE,Entity_Name,GradeOrSetting,Free Lunch Eligible,Reduced-Price Lunch Eligible,Not Eligible,Total Count
01010,Alcona Community Schools,00044,Alcona Community High School,09,21,11,40,72
01010,Alcona Community Schools,00044,Alcona Community High School,10,20,12,53,85
01010,Alcona Community Schools,00044,Alcona Community High School,11,21,7,44,72
01010,Alcona Community Schools,00044,Alcona Community High School,12,30,9,46,85
01010,Alcona Community Schools,04937,Alcona Elementary School,00,30,2,15,47
01010,Alcona Community Schools,04937,Alcona Elementary School,01,31,4,24,59
01010,Alcona Community Schools,04937,Alcona Elementary School,02,31,5,25,61
01010,Alcona Community Schools,04937,Alcona Elementary School,03,20,3,26,49
01010,Alcona Community Schools,04937,Alcona Elementary School,04,34,7,19,60
01010,Alcona Community Schools,04937,Alcona Elementary School,05,30,7,27,64
01010,Alcona Community Schools,08833,Alcona Middle School,06,32,10,36,78
01010,Alcona Community Schools,08833,Alcona Middle School,07,34,4,44,82
01010,Alcona Community Schools,08833,Alcona Middle School,08,49,4,32,85
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,00,3,1,0,4
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,01,3,0,2,5
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,02,5,1,0,6
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,03,3,0,3,6
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,04,4,1,1,6
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,05,4,0,4,8
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,06,0,0,4,4
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,07,0,1,3,4
02010,AuTrain-Onota Public Schools,04959,AuTrain-Onota Public School,08,0,1,0,1
02020,Burt Township School District,04999,Burt Township School,00,1,0,0,1
02020,Burt Township School District,04999,Burt Township School,01,2,1,1,4
02020,Burt Township School District,04999,Burt Township School,02,1,0,1,2
02020,Burt Township School District,04999,Burt Township School,04,1,0,0,1
02020,Burt Township School District,04999,Burt Township School,05,4,0,0,4
02020,Burt Township School District,04999,Burt Township School,06,1,0,0,1
02020,Burt Township School District,04999,Burt Township School,07,2,0,1,3
02020,Burt Township School District,04999,Burt Township School,08,2,0,1,3
02020,Burt Township School District,04999,Burt Township School,09,6,1,1,8
02020,Burt Township School District,04999,Burt Township School,10,2,1,0,3
02020,Burt Township School District,04999,Burt Township School,11,6,0,2,8
02020,Burt Township School District,04999,Burt Township School,12,2,1,0,3
02070,Munising Public Schools,00597,William G. Mather Elementary School,00,33,3,26,62
02070,Munising Public Schools,00597,William G. Mather Elementary School,01,18,4,20,42
02070,Munising Public Schools,00597,William G. Mather Elementary School,02,24,6,19,49
02070,Munising Public Schools,00597,William G. Mather Elementary School,03,29,5,22,56
02070,Munising Public Schools,00597,William G. Mather Elementary School,04,17,0,27,44
02070,Munising Public Schools,00597,William G. Mather Elementary School,05,9,7,26,42
02070,Munising Public Schools,00597,William G. Mather Elementary School,06,22,0,33,55
02070,Munising Public Schools,01928,Munising High and Middle School,07,14,7,27,48
02070,Munising Public Schools,01928,Munising High and Middle School,08,32,1,28,61
02070,Munising Public Schools,01928,Munising High and Middle School,09,15,5,32,52
02070,Munising Public Schools,01928,Munising High and Middle School,10,13,2,37,52
02070,Munising Public Schools,01928,Munising High and Middle School,11,15,6,37,58
02070,Munising Public Schools,01928,Munising High and Middle School,12,10,6,41,57
02080,Superior Central Schools,04860,Superior Central School,00,3,5,11,19
02080,Superior Central Schools,04860,Superior Central School,01,9,4,14,27
02080,Superior Central Schools,04860,Superior Central School,02,7,7,12,26
02080,Superior Central Schools,04860,Superior Central School,03,12,3,15,30
02080,Superior Central Schools,04860,Superior Central School,04,15,3,13,31
02080,Superior Central Schools,04860,Superior Central School,05,8,4,10,22
02080,Superior Central Schools,04860,Superior Central School,06,5,5,14,24
02080,Superior Central Schools,04860,Superior Central School,07,10,5,23,38
