Free and Reduced-Price Lunch Counts,,,,,,,,,
"Fall 2009 Building-Level Data: Age Groups, Ungraded Special Education",,,,,,,,,
Includes Grades K through 12 plus Ungraded Special Education (14),,,,,,,,,
DCODE,District_Name,BCODE,Entity_Name,GradeOrSetting,Age Group,Free Lunch Eligible,Reduced-Price Lunch Eligible,Not Eligible,Total Count
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,14,Age 0 to 4,4,2,6,12
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,14,Age 5 to 19,32,8,23,63
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,14,Age 20 to 26,12,3,2,17
03000,Allegan Area Educational Service Agency,09075,Wayland Young Adult Program,14,Age 5 to 19,0,0,1,1
03000,Allegan Area Educational Service Agency,09075,Wayland Young Adult Program,14,Age 20 to 26,1,0,6,7
03000,Allegan Area Educational Service Agency,09076,Plainwell Young Adult Program,14,Age 5 to 19,0,0,1,1
03000,Allegan Area Educational Service Agency,09076,Plainwell Young Adult Program,14,Age 20 to 26,1,0,7,8
03030,Allegan Public Schools,00881,Dawson Elementary School,14,Age 0 to 4,5,1,0,6
03040,Wayland Union Schools,04404,Wayland High School,14,Age 20 to 26,0,0,1,1
03050,Fennville Public Schools,07494,Fennville Elementary School,14,Age 0 to 4,0,0,3,3
03050,Fennville Public Schools,07494,Fennville Elementary School,14,Age 5 to 19,0,0,1,1
04000,Alpena-Montmorency-Alcona ESD,00808,Pied Piper Opportunity Center,14,Age 0 to 4,2,0,3,5
04000,Alpena-Montmorency-Alcona ESD,00808,Pied Piper Opportunity Center,14,Age 5 to 19,25,4,13,42
04000,Alpena-Montmorency-Alcona ESD,00808,Pied Piper Opportunity Center,14,Age 20 to 26,8,2,13,23
04000,Alpena-Montmorency-Alcona ESD,09473,ESD Sp Ed Programs in LEA Facilities,14,Age 0 to 4,9,0,10,19
04000,Alpena-Montmorency-Alcona ESD,09473,ESD Sp Ed Programs in LEA Facilities,14,Age 5 to 19,0,0,2,2
08000,Barry ISD,08881,Barry ISD Special Education,14,Age 5 to 19,5,2,2,9
08000,Barry ISD,08881,Barry ISD Special Education,14,Age 20 to 26,15,1,3,19
08010,Delton-Kellogg School District,00901,Delton Kellogg Elem. School,14,Age 0 to 4,9,0,7,16
08010,Delton-Kellogg School District,00901,Delton Kellogg Elem. School,14,Age 5 to 19,2,0,0,2
08030,Hastings Area School District,01607,Hastings Middle School,14,Age 5 to 19,3,0,0,3
09000,Bay-Arenac ISD,07276,Detention Center,14,Age 5 to 19,5,0,7,12
09000,Bay-Arenac ISD,08912,LLC---Bay Campus,14,Age 0 to 4,2,0,1,3
