District Code,District_Name,free_lunch_eligible,reduced_price_lunch_eligible,Not Eligible,Total Count
01010,Alcona Community Schools,383,85,431,899
02010,AuTrain-Onota Public Schools,22,5,17,44
02020,Burt Township School District,30,4,7,41
02070,Munising Public Schools,251,52,375,678
02080,Superior Central Schools,109,52,221,382
03000,Allegan Area Educational Service Agency,73,18,54,145
03010,Plainwell Community Schools,703,152,1909,2764
03020,Otsego Public Schools,688,162,1447,2297
03030,Allegan Public Schools,1084,245,1500,2829
03040,Wayland Union Schools,892,300,1745,2937
03050,Fennville Public Schools,913,163,439,1515
03060,Martin Public Schools,253,58,297,608
03070,Hopkins Public Schools,438,145,1106,1689
03080,Saugatuck Public Schools,222,82,553,857
03100,Hamilton Community Schools,443,216,1927,2586
03440,Glenn Public School District,11,3,27,41
03902,Outlook Academy,41,8,4,53
04000,Alpena-Montmorency-Alcona ESD,44,6,41,91
04010,Alpena Public Schools,1751,407,2275,4433
04901,Bingham Academy,88,10,44,142
05010,Alba Public Schools,117,37,59,213
05035,Central Lake Public Schools,168,38,172,378
05040,Bellaire Public Schools,191,46,287,524
05060,Elk Rapids Schools,410,104,1035,1549
05065,Ellsworth Community School,74,31,125,230
05070,Mancelona Public Schools,598,185,312,1095
05901,Concord Montessori and Community School,118,0,51,169
06010,Arenac Eastern School District,175,36,59,270
06020,Au Gres-Sims School District,182,48,170,400
06050,Standish-Sterling Community Schools,798,156,848,1802
07010,Arvon Township School District,2,0,3,5
07020,Baraga Area Schools,268,42,233,543
07040,L'Anse Area Schools,266,88,394,748
08000,Barry ISD,30,6,19,55
08010,Delton-Kellogg School District,636,149,873,1658
08030,Hastings Area School District,976,289,1707,2972
08050,Thornapple Kellogg School District,642,254,2072,2968
09000,Bay-Arenac ISD,134,17,102,253
09010,Bay City School District,3618,686,4669,8973
09030,Bangor Township Schools,988,189,1304,2481
09050,Essexville-Hampton Public Schools,490,103,1291,1884
09090,Pinconning Area Schools,620,155,775,1550
09901,Bay-Arenac Community High School,68,0,81,149
09902,Bay County PSA,172,24,38,234
10015,Benzie County Central Schools,883,261,674,1818
10025,Frankfort-Elberta Area Schools,223,72,255,550
11000,Berrien RESA,219,18,149,386
11010,Benton Harbor Area Schools,3140,166,289,3595
11020,St. Joseph Public Schools,385,116,2327,2828
11030,Lakeshore School District (Berrien),532,160,2239,2931
11033,River Valley School District,297,96,318,711
11160,Galien Township School District,90,14,69,173
11200,New Buffalo Area Schools,204,73,383,660
11210,Brandywine Community Schools,634,138,653,1425
11240,Berrien Springs Public Schools,995,165,833,1993
11250,Eau Claire Public Schools,545,65,219,829
11300,Niles Community School District,1861,313,1728,3902
11310,Buchanan Community Schools,636,148,855,1639
