Free and Reduced-Price Lunch Counts,,,,,,
Fall 2009 District-Level Data: K-12 Counts by Grades,,,,,,
Includes Grades K through 12 plus Ungraded Special Education (14),,,,,,
DCODE,District_Name,GradeOrSetting,Free Lunch Eligible,Reduced-Price Lunch Eligible,Not Eligible,Total Count
01010,Alcona Community Schools,00,30,2,15,47
01010,Alcona Community Schools,01,31,4,24,59
01010,Alcona Community Schools,02,31,5,25,61
01010,Alcona Community Schools,03,20,3,26,49
01010,Alcona Community Schools,04,34,7,19,60
01010,Alcona Community Schools,05,30,7,27,64
01010,Alcona Community Schools,06,32,10,36,78
01010,Alcona Community Schools,07,34,4,44,82
01010,Alcona Community Schools,08,49,4,32,85
01010,Alcona Community Schools,09,21,11,40,72
01010,Alcona Community Schools,10,20,12,53,85
01010,Alcona Community Schools,11,21,7,44,72
01010,Alcona Community Schools,12,30,9,46,85
02010,AuTrain-Onota Public Schools,00,3,1,0,4
02010,AuTrain-Onota Public Schools,01,3,0,2,5
02010,AuTrain-Onota Public Schools,02,5,1,0,6
02010,AuTrain-Onota Public Schools,03,3,0,3,6
02010,AuTrain-Onota Public Schools,04,4,1,1,6
02010,AuTrain-Onota Public Schools,05,4,0,4,8
02010,AuTrain-Onota Public Schools,06,0,0,4,4
02010,AuTrain-Onota Public Schools,07,0,1,3,4
02010,AuTrain-Onota Public Schools,08,0,1,0,1
02020,Burt Township School District,00,1,0,0,1
02020,Burt Township School District,01,2,1,1,4
02020,Burt Township School District,02,1,0,1,2
02020,Burt Township School District,04,1,0,0,1
02020,Burt Township School District,05,4,0,0,4
02020,Burt Township School District,06,1,0,0,1
02020,Burt Township School District,07,2,0,1,3
02020,Burt Township School District,08,2,0,1,3
02020,Burt Township School District,09,6,1,1,8
02020,Burt Township School District,10,2,1,0,3
02020,Burt Township School District,11,6,0,2,8
02020,Burt Township School District,12,2,1,0,3
02070,Munising Public Schools,00,33,3,26,62
02070,Munising Public Schools,01,18,4,20,42
02070,Munising Public Schools,02,24,6,19,49
02070,Munising Public Schools,03,29,5,22,56
02070,Munising Public Schools,04,17,0,27,44
02070,Munising Public Schools,05,9,7,26,42
02070,Munising Public Schools,06,22,0,33,55
02070,Munising Public Schools,07,14,7,27,48
02070,Munising Public Schools,08,32,1,28,61
02070,Munising Public Schools,09,15,5,32,52
02070,Munising Public Schools,10,13,2,37,52
02070,Munising Public Schools,11,15,6,37,58
02070,Munising Public Schools,12,10,6,41,57
02080,Superior Central Schools,00,3,5,11,19
02080,Superior Central Schools,01,9,4,14,27
02080,Superior Central Schools,02,7,7,12,26
02080,Superior Central Schools,03,12,3,15,30
02080,Superior Central Schools,04,15,3,13,31
02080,Superior Central Schools,05,8,4,10,22
02080,Superior Central Schools,06,5,5,14,24
02080,Superior Central Schools,07,10,5,23,38
02080,Superior Central Schools,08,5,6,20,31
02080,Superior Central Schools,09,4,1,25,30
02080,Superior Central Schools,10,8,2,16,26
02080,Superior Central Schools,11,9,4,25,38
02080,Superior Central Schools,12,14,3,23,40
03000,Allegan Area Educational Service Agency,00,2,1,0,3
03000,Allegan Area Educational Service Agency,01,4,0,1,5
03000,Allegan Area Educational Service Agency,02,2,0,1,3
03000,Allegan Area Educational Service Agency,03,3,0,2,5
03000,Allegan Area Educational Service Agency,04,3,1,1,5
03000,Allegan Area Educational Service Agency,05,2,1,0,3
03000,Allegan Area Educational Service Agency,06,2,1,0,3
03000,Allegan Area Educational Service Agency,07,2,0,2,4
03000,Allegan Area Educational Service Agency,08,3,1,0,4
03000,Allegan Area Educational Service Agency,12,0,0,1,1
03000,Allegan Area Educational Service Agency,14,50,13,46,109
03010,Plainwell Community Schools,00,54,3,143,200
03010,Plainwell Community Schools,01,64,10,108,182
03010,Plainwell Community Schools,02,69,13,129,211
03010,Plainwell Community Schools,03,57,7,128,192
03010,Plainwell Community Schools,04,55,22,132,209
03010,Plainwell Community Schools,05,54,14,123,191
03010,Plainwell Community Schools,06,65,9,157,231
03010,Plainwell Community Schools,07,58,18,141,217
03010,Plainwell Community Schools,08,48,10,141,199
03010,Plainwell Community Schools,09,67,17,180,264
03010,Plainwell Community Schools,10,48,12,184,244
03010,Plainwell Community Schools,11,39,11,163,213
03010,Plainwell Community Schools,12,25,6,180,211
03020,Otsego Public Schools,00,64,8,117,189
03020,Otsego Public Schools,01,52,12,87,151
03020,Otsego Public Schools,02,56,7,88,151
03020,Otsego Public Schools,03,75,14,105,194
03020,Otsego Public Schools,04,66,13,91,170
03020,Otsego Public Schools,05,54,17,108,179
03020,Otsego Public Schools,06,54,8,94,156
03020,Otsego Public Schools,07,51,14,115,180
03020,Otsego Public Schools,08,48,16,105,169
03020,Otsego Public Schools,09,52,17,136,205
03020,Otsego Public Schools,10,35,12,128,175
03020,Otsego Public Schools,11,42,13,139,194
03020,Otsego Public Schools,12,39,11,134,184
03030,Allegan Public Schools,00,120,10,127,257
03030,Allegan Public Schools,01,95,18,94,207
03030,Allegan Public Schools,02,97,23,87,207
03030,Allegan Public Schools,03,72,18,82,172
03030,Allegan Public Schools,04,93,15,105,213
03030,Allegan Public Schools,05,84,24,113,221
03030,Allegan Public Schools,06,65,23,79,167
03030,Allegan Public Schools,07,76,26,102,204
03030,Allegan Public Schools,08,80,18,100,198
03030,Allegan Public Schools,09,78,32,131,241
03030,Allegan Public Schools,10,100,16,189,305
03030,Allegan Public Schools,11,61,16,149,226
03030,Allegan Public Schools,12,58,5,142,205
03030,Allegan Public Schools,14,5,1,0,6
03040,Wayland Union Schools,00,97,24,157,278
03040,Wayland Union Schools,01,90,26,114,230
03040,Wayland Union Schools,02,78,25,94,197
03040,Wayland Union Schools,03,78,27,112,217
03040,Wayland Union Schools,04,66,23,129,218
03040,Wayland Union Schools,05,64,28,124,216
03040,Wayland Union Schools,06,61,22,117,200
03040,Wayland Union Schools,07,77,28,111,216
